arm,metric,target_x,target_y,lag_hours_y_after_x,observed_value,scenario_value,difference,n_observed_pairs,n_scenario_pairs
own_pooled__empirical,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.030755034146077435,0.019124300994537415,5064,506400
own_pooled__empirical,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.04306724246323482,0.0026493362078228028,4853,485300
own_pooled__empirical,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.9193625592587342,-0.017021850679680872,4853,485300
own_pooled__empirical,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.7711351302892937,-0.012142974467844514,4853,485300
own_pooled__empirical,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.4169976741830306,-0.05186757081300947,4853,485300
own_pooled__empirical,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.32624407582938386,0.06786143283135626,507,50640
cross_pooled__independent,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.19879858803122544,-0.2053256990674396,5064,506400
cross_pooled__independent,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.1656565052527141,-0.20625903475032784,4853,485300
cross_pooled__independent,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.11042653872299105,0.034046636614515485,5064,506400
cross_pooled__independent,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.1371040386538046,0.05108146424537133,4853,485300
cross_pooled__independent,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.04331952280108531,0.006559812339529542,5064,506400
cross_pooled__independent,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.06508872555298872,-0.019372146881931104,4853,485300
cross_pooled__independent,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.45951646947572267,-0.47686794046269243,4853,485300
cross_pooled__independent,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.38320617260964396,-0.40007193214749426,4853,485300
cross_pooled__independent,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.11421319905455521,-0.3546520459414848,4853,485300
cross_pooled__independent,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.20778041074249606,-0.05060223225553154,507,50640
cross_pooled__gaussian,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.36053857788359395,-0.0435857092150711,5064,506400
cross_pooled__gaussian,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.3337509573156541,-0.03816458268738787,4853,485300
cross_pooled__gaussian,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.09558414923638739,0.04888902610111914,5064,506400
cross_pooled__gaussian,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.12274807992437882,0.06543742297479711,4853,485300
cross_pooled__gaussian,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.03686475624194949,0.013014578898665363,5064,506400
cross_pooled__gaussian,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.05497020110793246,-0.009253622436874838,4853,485300
cross_pooled__gaussian,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.7529742041183449,-0.18341020582007017,4853,485300
cross_pooled__gaussian,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.5732048621283173,-0.21007324262882088,4853,485300
cross_pooled__gaussian,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.1444809644827642,-0.32438428051327584,4853,485300
cross_pooled__gaussian,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.30063191153238544,0.04224926853435784,507,50640
cross_pooled__empirical,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.37985820060050857,-0.02426608649815648,5064,506400
cross_pooled__empirical,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.3501583258911648,-0.021757214111877143,4853,485300
cross_pooled__empirical,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.09440374263565664,0.050069432701849895,5064,506400
cross_pooled__empirical,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.12167409231822315,0.06651141058095278,4853,485300
cross_pooled__empirical,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.024499375503205984,0.025379959637408866,5064,506400
cross_pooled__empirical,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.04062174161807426,0.005094837052983359,4853,485300
cross_pooled__empirical,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.916947783266536,-0.019436626671879065,4853,485300
cross_pooled__empirical,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.7650611313959378,-0.018216973361200428,4853,485300
cross_pooled__empirical,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.4169976741830306,-0.05186757081300947,4853,485300
cross_pooled__empirical,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.29895930014415767,0.04057665714613007,507,50639
