strategy,method_name,chi,month,days,total_eur,required_activation_mwh,undelivered_activation_mwh,undelivered_activation_share
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.1,2026-01,4,17619.0587177,24.0517106452,0.449522055321,0.0186898163691
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.1,2026-02,28,100637.722881,306.973166782,27.4219318744,0.0893300615226
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.1,2026-03,31,117056.289895,395.833856884,67.2839276697,0.169980224025
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.1,2026-04,30,91578.8910394,372.753610396,65.2359886583,0.17501101757
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.1,2026-05,31,92592.1057657,306.888907753,18.1116186848,0.0590168566776
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.1,2026-06,30,91330.4731941,193.133567032,14.2135825043,0.0735945735523
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.1,2026-07,31,48275.8939829,154.385245154,11.562350097,0.0748928441023
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.1,2026-08,26,46251.2951562,139.174184518,10.1298803776,0.0727856276843
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.5,2026-01,4,16252.6624102,21.316565059,0.292977042052,0.013744101887
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.5,2026-02,28,91980.3583059,237.563896834,18.7018119058,0.0787232915231
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.5,2026-03,31,96375.1674002,299.234248774,48.3445719219,0.161560958079
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.5,2026-04,30,80482.5979716,284.451508201,44.3908692606,0.156057774281
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.5,2026-05,31,82294.3411801,232.901580674,10.3900749024,0.0446114400441
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.5,2026-06,30,74238.940359,138.990433196,11.2624635686,0.081030494759
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.5,2026-07,31,43664.10366,113.884326777,8.24649012305,0.0724111065716
X14_rebuild,Wind-battery historical-scenario cluster reconstruction,0.5,2026-08,26,38083.6916441,84.773315583,1.16877735518,0.0137870902789
