strategy,method_name,chi,comparator,comparator_method_name,comparator_chi,metric,mean_difference_strategy_minus_comparator,confidence_lower,confidence_upper,dm_statistic,p_value,n_days
B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,evening_reserve_mw_hours,-0.116432342656,-0.287331990909,0.039926744154,-1.37076781301,0.170447347642,206
B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,evening_delivered_activation_mwh,-0.00449077245195,-0.015205849969,0.00789377766945,-0.773864105276,0.439011158264,206
B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,evening_undelivered_activation_mwh,-0.000197332918175,-0.000592066715689,4.85436894552e-08,-1.01753865259,0.308897254357,206
B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,recovery_grid_mwh,-0.309657042317,-0.439471815842,-0.174991278191,-4.47295276544,7.71468234726e-06,206
B3_proxy_rho50,Proxy-aligned pooled Gaussian-copula dispatch (rho=50 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,total_eur,-18.0181488606,-42.9160763174,9.98319545011,-1.28341157096,0.199347922167,206
B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,midday_charge_mwh,3.31153333941,2.47600000774,4.15230534781,7.32731625156,2.34807281294e-13,206
B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,midday_proxy_overlap_mwh,2.17615380158,1.45628666563,2.87216255821,5.80823699824,6.31341062761e-09,206
B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,midday_forecast_proxy_overlap_mwh,3.42239339292,2.58088779483,4.24316698658,7.65703902047,1.90268837483e-14,206
B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,soc_at_17_mwh,0.244812775514,0.138198198275,0.355048782633,4.35090924681,1.35574160921e-05,206
B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,evening_reserve_mw_hours,-0.108839382639,-0.236112092729,0.0239768046483,-1.64733760491,0.0994886725082,206
B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,evening_delivered_activation_mwh,-0.00426320602165,-0.0143863623026,0.00716848902996,-0.769584098687,0.441546640482,206
B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,evening_undelivered_activation_mwh,-0.000197332918175,-0.000592081278796,5.33980583792e-08,-1.01752013734,0.308906057598,206
B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,recovery_grid_mwh,-0.903369193229,-1.25899642672,-0.61345617535,-5.55099771682,2.84043796333e-08,206
B3_proxy_rho100,Proxy-aligned pooled Gaussian-copula dispatch (rho=100 EUR/MWh),0,B3_pooled_gaussian,Pooled Gaussian-copula stochastic dispatch,0,total_eur,-71.472370486,-115.586325557,-24.3294433065,-3.08700075871,0.00202187080648,206
