strategy,chi,comparator,comparator_chi,metric,status,mean_difference_strategy_minus_comparator,confidence_lower,confidence_upper,dm_statistic,p_value,n_days
B3_pooled_gaussian_gate,0.5,B2_FB0,0,total_eur,computed,397.259137855,262.886908292,557.39656047,5.27764397867,1.30855382361e-07,211
B3_pooled_gaussian_gate,0.5,B2_FB0,0,undelivered_activation_share,computed,-0.00482987101604,-0.0153525282714,0.0062680696561,-0.904830832645,0.365555014601,211
B3_pooled_gaussian_gate,0.5,B2_FB0,0,committed_mw_hours,computed,8.49676760509,5.13167824875,12.0750112015,4.78356531275,1.7221289855e-06,211
B3_pooled_gaussian_no_cross,0,B2_FB0,0,total_eur,computed,397.760054662,263.682320446,551.18177297,5.35035588235,8.77814348699e-08,211
B3_pooled_gaussian_no_cross,0,B2_FB0,0,undelivered_activation_share,computed,-0.00670157000429,-0.0173536074,0.0041790984493,-1.22969720909,0.218810512333,211
B3_pooled_gaussian_no_cross,0,B2_FB0,0,committed_mw_hours,computed,11.7270622757,7.95860785239,15.6628666669,5.94712576623,2.72891740963e-09,211
B3_pooled_gaussian_no_cross,0.5,B2_FB0,0,total_eur,computed,352.869143786,219.692324452,514.459284123,4.61636134872,3.90526725168e-06,211
B3_pooled_gaussian_no_cross,0.5,B2_FB0,0,undelivered_activation_share,computed,-0.00900180712593,-0.0198051584593,0.00172991099074,-1.68109633074,0.0927442050023,211
B3_pooled_gaussian_no_cross,0.5,B2_FB0,0,committed_mw_hours,computed,7.36136664687,3.69692641123,11.1753672797,3.87468978592,0.000106760612528,211
B3_pooled_independent,0,B2_FB0,0,total_eur,computed,414.735160268,264.541308763,579.30871017,5.09438523028,3.49874705181e-07,211
B3_pooled_independent,0,B2_FB0,0,undelivered_activation_share,computed,-0.00802789878593,-0.019316587798,0.00385940782261,-1.37732613687,0.168411437924,211
B3_pooled_independent,0,B2_FB0,0,committed_mw_hours,computed,10.8739634085,7.27740818996,14.7384460376,5.7288673748,1.01103398238e-08,211
B3_pooled_independent,0.5,B2_FB0,0,total_eur,computed,393.99383712,243.036747528,559.610242796,4.87430290704,1.0919333833e-06,211
B3_pooled_independent,0.5,B2_FB0,0,undelivered_activation_share,computed,-0.00748111454656,-0.018243185449,0.00333097449927,-1.3854302846,0.165920936043,211
B3_pooled_independent,0.5,B2_FB0,0,committed_mw_hours,computed,8.6030025138,4.77216443774,12.4524161775,4.50347470139,6.68513291924e-06,211
X06_rebuild,0,B2_FB0,0,total_eur,computed,275.905961746,173.103344584,420.737442377,4.11936441016,3.79918904727e-05,211
X06_rebuild,0,B2_FB0,0,undelivered_activation_share,computed,0.0041115905466,-0.00626537707249,0.0151407429842,0.772069953669,0.440072996772,211
X06_rebuild,0,B2_FB0,0,committed_mw_hours,computed,9.1645248512,5.08796107757,13.2598124194,4.25531800154,2.08752109038e-05,211
X09_rebuild,0,B2_FB0,0,total_eur,computed,426.311594783,284.40452848,563.830067503,5.82511898653,5.70719230508e-09,211
X09_rebuild,0,B2_FB0,0,undelivered_activation_share,computed,-0.010379032658,-0.02277033985,0.000788186771953,-1.76465913239,0.077621070899,211
X09_rebuild,0,B2_FB0,0,committed_mw_hours,computed,8.15431611933,4.25311728537,12.100626223,4.00869430124,6.10553919683e-05,211
X14_rebuild,0,B2_FB0,0,total_eur,computed,230.375288806,67.5168564522,369.842239254,2.95698345823,0.00310664783838,211
X14_rebuild,0,B2_FB0,0,undelivered_activation_share,computed,0.00226409806936,-0.00675413366302,0.0112312130356,0.494576964511,0.620898765902,211
X14_rebuild,0,B2_FB0,0,committed_mw_hours,computed,4.2273628524,0.781624163289,7.40704033122,2.3918310714,0.0167645565156,211
X14_rebuild,0.1,B2_FB0,0,total_eur,computed,181.361062662,24.7982592162,316.393681082,2.41827200287,0.0155944148768,211
X14_rebuild,0.1,B2_FB0,0,undelivered_activation_share,computed,-0.00137531662419,-0.0107880787334,0.00733018409542,-0.302548538058,0.76223393795,211
X14_rebuild,0.1,B2_FB0,0,committed_mw_hours,computed,0.778262593449,-2.58801109876,3.92193712976,0.451179609209,0.651860104632,211
X14_rebuild,0.5,B2_FB0,0,total_eur,computed,-207.121722649,-348.643199811,-72.1298343464,-2.93807114316,0.00330261227606,211
X14_rebuild,0.5,B2_FB0,0,undelivered_activation_share,computed,-0.0130446626063,-0.0216573564692,-0.00496017220412,-3.13297435564,0.00173044560353,211
X14_rebuild,0.5,B2_FB0,0,committed_mw_hours,computed,-16.0560652018,-19.6951242175,-12.8263606181,-8.90703716938,5.24144885471e-19,211
B2_FB0_gate,0,X14_rebuild,0,total_eur,computed,-245.540495638,-381.013138894,-85.8289847147,-3.24059008431,0.00119282576036,211
B2_FB0_gate,0,X14_rebuild,0,undelivered_activation_share,computed,-0.00239842486007,-0.0111636516092,0.00641599774133,-0.53037600932,0.595851256182,211
B2_FB0_gate,0,X14_rebuild,0,committed_mw_hours,computed,-4.2273628524,-7.40704033122,-0.781624163289,-2.3918310714,0.0167645565156,211
B3_fb2_plus_weather_s3a,0,X14_rebuild,0,total_eur,computed,79.9121840229,-81.1095880048,223.317955928,1.06812022494,0.28546628382,209
B3_fb2_plus_weather_s3a,0,X14_rebuild,0,undelivered_activation_share,computed,-0.00791759502025,-0.0138226097432,-0.00254003820694,-2.77302184011,0.00555383931988,209
B3_fb2_plus_weather_s3a,0,X14_rebuild,0,committed_mw_hours,computed,5.31208477542,3.42657060346,7.43232142172,4.97239083098,6.61322127568e-07,209
B3_fb2_plus_weather_s3a,0.5,X14_rebuild,0,total_eur,computed,-9.42965242698,-177.695731051,147.737198294,-0.116405854061,0.907330896067,209
B3_fb2_plus_weather_s3a,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.0112289837604,-0.0171611945263,-0.00571865221104,-3.85535578153,0.000115561441134,209
B3_fb2_plus_weather_s3a,0.5,X14_rebuild,0,committed_mw_hours,computed,0.559300142571,-1.4786767653,2.75982782386,0.508587060032,0.611041700997,209
B3_fb2_s3a,0,X14_rebuild,0,total_eur,computed,201.443340681,114.812490109,315.369425933,3.88638511426,0.000101748045967,211
B3_fb2_s3a,0,X14_rebuild,0,undelivered_activation_share,computed,-0.00649713035255,-0.0105567479597,-0.00191601249536,-2.95092459251,0.00316824255881,211
B3_fb2_s3a,0,X14_rebuild,0,committed_mw_hours,computed,8.09059963576,6.31334522145,10.1793902588,8.21479519976,2.12526658478e-16,211
B3_fb2_s3a,0.5,X14_rebuild,0,total_eur,computed,162.985114151,77.5037301911,292.580552222,2.86222131615,0.00420683038464,211
B3_fb2_s3a,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.00738962671668,-0.0118516514388,-0.00283122502922,-3.21311041356,0.00131305800854,211
B3_fb2_s3a,0.5,X14_rebuild,0,committed_mw_hours,computed,4.77468216355,3.09371353865,6.75362889116,5.04632380223,4.50391856159e-07,211
B3_hist_independent,0,X14_rebuild,0,total_eur,computed,98.3155634134,26.9149293807,187.126934301,2.39810149277,0.0164802981691,211
B3_hist_independent,0,X14_rebuild,0,undelivered_activation_share,computed,-0.0152085576615,-0.0210613698571,-0.00985956388587,-5.43734676464,5.40798250433e-08,211
B3_hist_independent,0,X14_rebuild,0,committed_mw_hours,computed,4.61179603765,2.9190720486,6.54640902847,4.95818878726,7.11534046168e-07,211
B3_hist_independent,0.5,X14_rebuild,0,total_eur,computed,50.5303497776,-42.9028576987,160.022336387,1.00079784925,0.316924549572,211
B3_hist_independent,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.0163632253306,-0.0224954415431,-0.010762783158,-5.48603382088,4.11058230422e-08,211
B3_hist_independent,0.5,X14_rebuild,0,committed_mw_hours,computed,2.41961415886,1.045252273,3.90496839697,3.36513448117,0.000765063601305,211
B3_hist_paired,0,X14_rebuild,0,total_eur,computed,95.9957636962,28.747031048,208.191586637,1.90433644332,0.0568663808432,211
B3_hist_paired,0,X14_rebuild,0,undelivered_activation_share,computed,-0.0168853080355,-0.023314586788,-0.0112286158883,-5.66416306549,1.47743858386e-08,211
B3_hist_paired,0,X14_rebuild,0,committed_mw_hours,computed,4.79899284195,2.67434980509,6.68378639128,4.78245693346,1.73165495288e-06,211
B3_hist_paired,0.5,X14_rebuild,0,total_eur,computed,71.2188418485,-2.66693005737,185.735275956,1.3501481982,0.176968450589,211
B3_hist_paired,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.0172559927305,-0.0237427054784,-0.0114968543714,-5.64935650516,1.61049553664e-08,211
B3_hist_paired,0.5,X14_rebuild,0,committed_mw_hours,computed,4.30638637251,2.54788097449,5.94650955242,5.01610918874,5.27283700155e-07,211
B3_hist_paired_shortfall,0,X14_rebuild,0,total_eur,computed,320.888677014,240.523745141,419.157366935,7.07081869953,1.54022263491e-12,211
B3_hist_paired_shortfall,0,X14_rebuild,0,undelivered_activation_share,computed,0.00637458928262,0.00183174051277,0.0117531387282,2.58970876483,0.00960571592903,211
B3_hist_paired_shortfall,0,X14_rebuild,0,committed_mw_hours,computed,19.6898916032,17.9002287273,21.5457405382,21.769056956,4.55914137206e-105,211
B3_hist_paired_shortfall,0.5,X14_rebuild,0,total_eur,computed,281.558694467,196.164749501,381.510377811,5.94392896347,2.78270229359e-09,211
B3_hist_paired_shortfall,0.5,X14_rebuild,0,undelivered_activation_share,computed,0.00684761165372,0.00267186325429,0.0121112335044,2.9317154597,0.00337095443531,211
B3_hist_paired_shortfall,0.5,X14_rebuild,0,committed_mw_hours,computed,18.8809800191,17.0269280976,20.8612401198,19.8205015753,1.9812422921e-87,211
B3_pooled_empirical,0,X14_rebuild,0,total_eur,computed,165.225572739,95.8657560751,299.43681212,2.94392549746,0.00324078003066,211
B3_pooled_empirical,0,X14_rebuild,0,undelivered_activation_share,computed,-0.0106876124459,-0.0163209384583,-0.00463362439785,-3.58980615988,0.000330923952601,211
B3_pooled_empirical,0,X14_rebuild,0,committed_mw_hours,computed,4.68297910995,3.44364917004,6.6272626991,5.62114388193,1.89697197539e-08,211
B3_pooled_empirical,0.5,X14_rebuild,0,total_eur,computed,154.053267417,49.7590391415,280.173694324,2.63950222823,0.00830278774304,211
B3_pooled_empirical,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.0116698794915,-0.0174888151816,-0.00564537780553,-3.8476150261,0.000119273281615,211
B3_pooled_empirical,0.5,X14_rebuild,0,committed_mw_hours,computed,2.11530025709,0.557680450129,3.64449858068,2.74138351722,0.00611810493366,211
B3_pooled_empirical_analog,0,X14_rebuild,0,total_eur,computed,193.789324728,104.513831177,308.162216491,3.78052821912,0.000156495979427,211
B3_pooled_empirical_analog,0,X14_rebuild,0,undelivered_activation_share,computed,-0.0102770951826,-0.0159564065167,-0.00428526111618,-3.4594609846,0.000541257684659,211
B3_pooled_empirical_analog,0,X14_rebuild,0,committed_mw_hours,computed,4.99496320713,3.50042605974,6.63249102015,6.46609802523,1.00565855103e-10,211
B3_pooled_empirical_analog,0.5,X14_rebuild,0,total_eur,computed,152.156839485,49.3164454901,276.547380446,2.72774876769,0.00637681545437,211
B3_pooled_empirical_analog,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.0100057440311,-0.015457159063,-0.00402905908863,-3.39650706584,0.000682517952424,211
B3_pooled_empirical_analog,0.5,X14_rebuild,0,committed_mw_hours,computed,3.02756176536,1.45091924753,4.53183646508,3.87410513286,0.000107017209047,211
B3_pooled_empirical_directqr,0,X14_rebuild,0,total_eur,computed,188.065366703,99.5808197443,299.07148708,3.76356176411,0.000167510330139,211
B3_pooled_empirical_directqr,0,X14_rebuild,0,undelivered_activation_share,computed,-0.0105464600695,-0.0163930072661,-0.00473166947389,-3.50251291911,0.00046089143194,211
B3_pooled_empirical_directqr,0,X14_rebuild,0,committed_mw_hours,computed,5.00983245786,3.49173686794,6.66375252542,6.36734500914,1.92328233634e-10,211
B3_pooled_empirical_directqr,0.5,X14_rebuild,0,total_eur,computed,154.882738742,50.8502341167,279.738185315,2.65646294762,0.00789651279787,211
B3_pooled_empirical_directqr,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.0111417754089,-0.0169594819813,-0.0050978226525,-3.7291692173,0.000192112113485,211
B3_pooled_empirical_directqr,0.5,X14_rebuild,0,committed_mw_hours,computed,2.25928388888,0.57684838931,3.89962872589,2.87420675067,0.00405043717157,211
B3_pooled_gaussian,0,X14_rebuild,0,total_eur,computed,218.685050529,136.41540422,337.66627726,4.11989153298,3.79050797304e-05,211
B3_pooled_gaussian,0,X14_rebuild,0,undelivered_activation_share,computed,-0.00722499498786,-0.011594681627,-0.0016049043762,-2.86269692883,0.0042005213894,211
B3_pooled_gaussian,0,X14_rebuild,0,committed_mw_hours,computed,7.75080529199,5.76568513752,9.9398083816,7.44515376533,9.68315675193e-14,211
B3_pooled_gaussian,0.5,X14_rebuild,0,total_eur,computed,167.973378304,90.5341333462,294.270879906,3.09007498167,0.00200105970907,211
B3_pooled_gaussian,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.00738807496904,-0.0120263172926,-0.00205974941184,-2.91344674687,0.00357462800365,211
B3_pooled_gaussian,0.5,X14_rebuild,0,committed_mw_hours,computed,4.77569861365,2.90918817813,6.89425686723,4.7153017975,2.41352737323e-06,211
B3_pooled_gaussian_directqr,0,X14_rebuild,0,total_eur,computed,216.885704951,134.643901731,335.616429057,4.1128907108,3.90735391537e-05,211
B3_pooled_gaussian_directqr,0,X14_rebuild,0,undelivered_activation_share,computed,-0.00692305301229,-0.0112571218666,-0.00126620543819,-2.74916313761,0.00597476411619,211
B3_pooled_gaussian_directqr,0,X14_rebuild,0,committed_mw_hours,computed,7.5929654197,5.78098512694,9.82293955205,7.36037951971,1.83388086599e-13,211
B3_pooled_gaussian_directqr,0.5,X14_rebuild,0,total_eur,computed,173.645956326,94.2806667393,301.670869595,3.12382886803,0.00178514249213,211
B3_pooled_gaussian_directqr,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.00714485792672,-0.0116266398887,-0.00184952180796,-2.85460549066,0.00430903185314,211
B3_pooled_gaussian_directqr,0.5,X14_rebuild,0,committed_mw_hours,computed,5.01515961272,3.11002839072,7.1222900495,4.86560682642,1.14106157308e-06,211
B3_pooled_gaussian_gate,0,X14_rebuild,0,total_eur,computed,210.059636071,130.858936266,329.586878338,4.04814523769,5.1625109516e-05,211
B3_pooled_gaussian_gate,0,X14_rebuild,0,undelivered_activation_share,computed,-0.00718915561022,-0.0114461679511,-0.0020533550598,-3.05085314297,0.00228192156947,211
B3_pooled_gaussian_gate,0,X14_rebuild,0,committed_mw_hours,computed,7.67280107432,5.92845633714,9.6470786633,8.06078528266,7.58058799457e-16,211
B3_pooled_gaussian_gate,0.5,X14_rebuild,0,total_eur,computed,166.883849049,85.9002395036,295.942722826,2.98162226864,0.00286725527108,211
B3_pooled_gaussian_gate,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.0070939690854,-0.0117430559224,-0.00167720823802,-2.77280480699,0.00555754450964,211
B3_pooled_gaussian_gate,0.5,X14_rebuild,0,committed_mw_hours,computed,4.26940475269,2.36440892748,6.39521012827,4.17299766585,3.00618022669e-05,211
B3_pooled_gaussian_no_cross,0,X14_rebuild,0,total_eur,computed,167.384765855,58.3711158526,305.037231857,2.62739111421,0.00860423740972,211
B3_pooled_gaussian_no_cross,0,X14_rebuild,0,undelivered_activation_share,computed,-0.00896566807365,-0.0132167492565,-0.00437842429896,-3.99414428048,6.49283190995e-05,211
B3_pooled_gaussian_no_cross,0,X14_rebuild,0,committed_mw_hours,computed,7.4996994233,5.60269978292,9.75325729848,7.05240809065,1.75847564578e-12,211
B3_pooled_gaussian_no_cross,0.5,X14_rebuild,0,total_eur,computed,122.49385498,32.7758329117,262.217334802,1.99787403628,0.0457303181353,211
B3_pooled_gaussian_no_cross,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.0112659051953,-0.0165664253003,-0.00619772239057,-4.40873959123,1.03973952945e-05,211
B3_pooled_gaussian_no_cross,0.5,X14_rebuild,0,committed_mw_hours,computed,3.13400379446,1.04475939891,5.3676541201,2.92096475479,0.00348949301369,211
B3_pooled_independent,0,X14_rebuild,0,total_eur,computed,184.359871461,84.2037719531,316.167291563,3.11210437603,0.00185758809243,211
B3_pooled_independent,0,X14_rebuild,0,undelivered_activation_share,computed,-0.0102919968553,-0.0164366560744,-0.00415614342078,-3.33316893844,0.000858627890925,211
B3_pooled_independent,0,X14_rebuild,0,committed_mw_hours,computed,6.64660055612,4.69593757263,8.87077584659,6.04702536656,1.47544534951e-09,211
B3_pooled_independent,0.5,X14_rebuild,0,total_eur,computed,163.618548314,84.7177058564,280.521970144,3.16513770251,0.00155009571662,211
B3_pooled_independent,0.5,X14_rebuild,0,undelivered_activation_share,computed,-0.00974521261593,-0.0144074593227,-0.00481892899356,-3.98036625409,6.88091703076e-05,211
B3_pooled_independent,0.5,X14_rebuild,0,committed_mw_hours,computed,4.3756396614,2.20338268343,6.609553255,3.95531898758,7.64326007533e-05,211
X06_rebuild,0,X14_rebuild,0,total_eur,computed,45.5306729396,-52.3699716119,199.113191925,0.693224486127,0.488168683931,211
X06_rebuild,0,X14_rebuild,0,undelivered_activation_share,computed,0.00184749247724,-0.00212522309865,0.0068576403229,0.791455451753,0.428678262279,211
X06_rebuild,0,X14_rebuild,0,committed_mw_hours,computed,4.9371619988,3.52740900684,6.53941965148,6.29636023866,3.04715764932e-10,211
X09_rebuild,0,X14_rebuild,0,total_eur,computed,195.936305976,102.763635834,307.708291303,3.74632445017,0.000179444475796,211
