scope,path,delivery_day,period,activation_state,information_set,activation_representation,delivery_days,evaluated_days,scenarios,valid_n,missing_n,availability_ok
premium_pool,,2026-02-09,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-09,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-09,4,0,gate_0730,,81,,,136,0,True
premium_pool,,2026-02-09,4,1,gate_0730,,81,,,1160,0,True
premium_pool,,2026-02-09,5,0,gate_0730,,81,,,216,0,True
premium_pool,,2026-02-09,5,1,gate_0730,,81,,,1080,0,True
premium_pool,,2026-02-10,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-10,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-10,1,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-10,1,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-10,2,0,gate_0730,,81,,,56,0,True
premium_pool,,2026-02-10,2,1,gate_0730,,81,,,1240,0,True
premium_pool,,2026-02-10,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-10,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-10,4,0,gate_0730,,81,,,136,0,True
premium_pool,,2026-02-10,4,1,gate_0730,,81,,,1160,0,True
premium_pool,,2026-02-10,5,0,gate_0730,,81,,,216,0,True
premium_pool,,2026-02-10,5,1,gate_0730,,81,,,1080,0,True
premium_pool,,2026-02-11,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-11,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-11,1,0,gate_0730,,81,,,80,0,True
premium_pool,,2026-02-11,1,1,gate_0730,,81,,,1216,0,True
premium_pool,,2026-02-11,2,0,gate_0730,,81,,,60,0,True
premium_pool,,2026-02-11,2,1,gate_0730,,81,,,1236,0,True
premium_pool,,2026-02-11,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-11,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-11,4,0,gate_0730,,81,,,136,0,True
premium_pool,,2026-02-11,4,1,gate_0730,,81,,,1160,0,True
premium_pool,,2026-02-11,5,0,gate_0730,,81,,,216,0,True
premium_pool,,2026-02-11,5,1,gate_0730,,81,,,1080,0,True
premium_pool,,2026-02-12,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-12,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-12,1,0,gate_0730,,81,,,80,0,True
premium_pool,,2026-02-12,1,1,gate_0730,,81,,,1216,0,True
premium_pool,,2026-02-12,2,0,gate_0730,,81,,,60,0,True
premium_pool,,2026-02-12,2,1,gate_0730,,81,,,1236,0,True
premium_pool,,2026-02-12,3,0,gate_0730,,81,,,76,0,True
premium_pool,,2026-02-12,3,1,gate_0730,,81,,,1220,0,True
premium_pool,,2026-02-12,4,0,gate_0730,,81,,,136,0,True
premium_pool,,2026-02-12,4,1,gate_0730,,81,,,1160,0,True
premium_pool,,2026-02-12,5,0,gate_0730,,81,,,220,0,True
premium_pool,,2026-02-12,5,1,gate_0730,,81,,,1076,0,True
premium_pool,,2026-02-13,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-13,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-13,1,0,gate_0730,,81,,,80,0,True
premium_pool,,2026-02-13,1,1,gate_0730,,81,,,1216,0,True
