delivery_day,strategy,chi,planned_profit_eur,base_terminal_soc_deviation_mwh,exclusivity_violations,fallback,solver_settings,solver_0730_status,solver_1200_delivery_status,solver_1200_profit_status,delivery_shortfall_from_maximum_mwh,undelivered_activation_mwh,undelivered_activation_share,stress_hours,stress_required_activation_mwh,stress_delivered_activation_mwh,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,schedule_gap_cost_eur,recovery_cost_eur,total_eur,committed_mw_hours,required_activation_mwh,delivered_activation_mwh,reserve_power_gap_mwh,reserve_energy_gap_mwh,day_ahead_gap_mwh,recovery_grid_mwh,max_committed_gross_power_mw,max_realised_gross_power_mw,slots_with_shortfall,slots_with_schedule_gap,activation_during_charge_slots,recovery_during_discharge_slots,recovery_during_activation_slots,recovery_overlap_slots,min_soc_mwh,max_soc_mwh,terminal_soc_mwh,terminal_soc_deviation_mwh,cycles
2026-01-28,B3_pooled_gaussian_directqr,0,5055.57922447,0,0,0,highs|highs+highs,0,0,0,5.00030239436e-10,9.99999997475e-07,1.25560091174e-07,9,2.31130237505,2.31130237505,-4.99426985655,3445.50653374,4854.80682748,7.59399998589e-05,0,612.59578768,7682.72322774,85.238792013,7.96431404379,7.96431304379,0,9.99999998141e-07,0,9.36978005151,4,4,0,0,4,0,10,12,2.92339809507,7.83993587855,4.4,0,0.0795577921195
2026-01-28,B3_pooled_gaussian_directqr,0.5,5073.54135325,0,0,0,highs|highs+highs,0,0,0,5.00026686723e-10,9.99999999252e-07,1.25575640526e-07,9,2.40619352737,2.40619352737,-7.56772290829,3483.55586685,4830.6843845,7.59399999516e-05,0,592.96836904,7713.70408346,83.5302859873,7.96332788005,7.96332688005,0,9.99999999363e-07,0,9.36861985888,4,4,0,0,7,0,11,14,3.02088810894,7.89680734726,4.4,-1.7763568394e-15,0.0949058439705
2026-01-28,B3_pooled_gaussian_gate,0,4787.60896387,0,0,0,highs|highs+highs,0,0,0,5.00076424714e-10,0.174682249158,0.0219331191862,9,2.31130237505,2.31130237505,-2.6197137222,3445.50653374,4700.0776706,14.8741843058,0,589.224184682,7538.86612163,85.238792013,7.96431404379,7.78963179463,0,0.174682249158,0,9.16427269956,4,4,1,0,4,1,10,11,3.17965315902,7.88142649368,4.4,8.881784197e-16,0.0875683061143
2026-01-28,B3_pooled_gaussian_gate,0.5,4812.50455141,0,0,0,highs|highs+highs,0,0,0,5.00032015793e-10,0.169553620415,0.021291804503,9,2.40619352737,2.40619352737,-6.68421729831,3483.55586685,4680.49806438,14.4374815684,0,566.602620042,7576.32961233,83.5302859873,7.96332788005,7.79377425963,0,0.169553620415,0,9.1691461878,4,4,1,0,6,0,11,15,3.21953843916,8.000000001,4.4,-3.5527136788e-15,0.202182566637
2026-01-28,B3_pooled_gaussian_no_cross,0,5114.73524086,0,0,0,highs|highs+highs,0,0,0,5.0003379215e-10,0.171810487279,0.0212115283822,9,2.42106850282,2.42106850282,-3.9803488995,3487.36503748,4722.90994771,14.6296537818,0,594.045404395,7597.61957811,86.1196009325,8.09986362998,7.9280531427,0,0.171810487279,0,9.32712134435,4,4,1,0,5,0,9,12,3.08982769827,7.97504199429,4.4,1.7763568394e-15,0.0802642310246
2026-01-28,B3_pooled_gaussian_no_cross,0.5,5068.88062902,0,0,0,highs|highs+highs,0,0,0,4.99969843304e-10,0.171810487279,0.0207183861588,9,2.39697094049,2.39697094049,18.9414667068,3423.3832069,4759.88592466,14.6296537818,0,612.485548262,7575.09539622,84.4109670548,8.29265783357,8.12084734629,0,0.171810487279,0,9.55393805446,4,4,1,0,5,0,12,14,2.99682285753,8.000000001,4.4,2.6645352591e-15,0.144754367521
2026-01-28,B3_pooled_independent,0,5269.04009679,0,0,0,highs|highs+highs,0,0,0,4.99971619661e-10,0.135745079285,0.0172107688144,9,2.42106850282,2.42106850282,-10.2752110632,3562.6032785,4734.54425799,11.5586842911,0,551.899036666,7723.41460448,86.4111480436,7.88721763388,7.75147255459,0,0.135745079285,0,9.11937947599,4,4,1,0,5,0,10,14,3.02351054133,8.000000001,4.4,3.5527136788e-15,0.121520190596
2026-01-28,B3_pooled_independent,0.5,5255.01653663,0,0,0,highs|highs+highs,0,0,0,5.00008923154e-10,9.99999999252e-07,1.24480857637e-07,9,2.42106850282,2.42106850282,-3.3319554987,3557.47125755,4831.82399698,7.59400000528e-05,0,592.368761077,7793.59446202,87.6476736345,8.03336366917,8.03336266917,0,1.00000000069e-06,0,9.4510149049,4,4,1,0,5,0,12,15,2.9460196116,8.000000001,4.4,2.6645352591e-15,0.089055537908
2026-01-28,X06_rebuild,0,5963.04551629,0,0,0,highs,0,-1,-1,0,0.185907708503,0.0357327519797,9,0.770565650229,0.770565650229,188.284593588,3049.74419407,1611.13442263,15.830032169,0,364.109129296,4469.22404882,67.6363572327,5.20272574048,5.01681803197,0.0449950102718,0.140912698231,0,5.90213886115,4,4,1,0,4,0,5,8,2.60503129479,8.000000001,4.4,8.881784197e-16,0.414879500578
2026-01-28,X09_rebuild,0,4673.32872597,0,0,0,highs,0,-1,-1,0,1.00000000103e-06,1.26125185835e-07,9,2.32345232788,2.32345232788,-6.3610057208,3406.61845693,4833.11975688,7.59400001286e-05,0,593.611929456,7639.76520269,84.1940373683,7.928630546,7.928629546,0,1.00000000169e-06,0,9.32779946588,4,4,1,0,7,1,9,14,2.92339809507,7.96509750302,4.4,0,0.144334293868
2026-01-28,X14_rebuild,0,5807.33211158,0,0,0,highs|highs+highs,0,0,0,4.99948527022e-10,0.575735906505,0.070984015421,9,2.30214153915,2.30214153915,-0.606403353865,3548.57311871,4856.51357046,45.2919434505,0,542.765570348,7816.42277203,79.2321357888,8.11078244997,7.53504654346,0.170527547286,0.405208359219,0,8.86476063937,4,4,2,0,1,0,8,8,2.99995397035,8.000000001,4.4,0,0.00400686295698
2026-01-28,X14_rebuild,0.1,5790.77388726,0,0,0,highs|highs+highs,0,0,0,5.00090635569e-10,0.449520055321,0.0564051685631,9,2.44892011495,2.44892011495,-5.49640427273,3498.9341035,4867.87352814,35.3789901505,0,534.923360204,7791.00887701,76.5612469135,7.96948341387,7.51996335855,0.134900884848,0.314619170473,0,8.84701571594,4,4,2,0,3,0,8,9,2.88869797868,8.000000001,4.4,0,0.0213125002069
2026-01-28,X14_rebuild,0.5,5656.2807838,0,0,0,highs|highs+highs,0,0,0,5.00058661146e-10,0.292975042052,0.0374198006372,9,2.50151530381,2.50151530381,-101.615435506,3258.41104377,4876.36807799,23.0839939886,0,532.189426944,7477.89026532,65.7517785985,7.82941215783,7.53643711578,0.0907132785233,0.202261763529,0,8.8663966068,4,4,2,0,4,2,6,10,2.9411169224,7.11623012337,4.4,1.7763568394e-15,0.201806969768
2026-01-29,B2_FB0,0,2652.90274768,0,0,0,solve_day,0,-1,-1,0,9.99999999252e-07,1.25278952917e-07,4,0.1428,0.1428,124.235422792,1817.12187637,6054.67485915,8.70599999874e-05,0,877.605708133,7118.42636311,88.7762157546,7.98218675979,7.98218575979,0,9.99999999855e-07,0,9.39080677622,4,4,0,0,4,2,20,24,3.88695994219,8.000000001,4.4,-1.7763568394e-15,0.414879500578
2026-01-29,B2_FB0_gate,0,1819.43985571,0,0,0,solve_day,0,-1,0,0,9.99999999252e-07,1.25278952917e-07,4,0.1428,0.1428,124.235422792,1817.12187637,6054.67485915,8.70599999874e-05,0,877.605708133,7118.42636311,88.7762157546,7.98218675979,7.98218575979,0,9.99999999855e-07,0,9.39080677622,4,4,0,0,4,2,20,24,3.88695994219,8.000000001,4.4,-1.7763568394e-15,0.414879500578
2026-01-29,B3_fb2_plus_weather_s3a,0,3176.91474113,0,0,0,highs|highs+highs,0,0,0,4.99971619661e-10,1.00000000103e-06,1.35576751975e-07,4,0.1428,0.1428,-22.2151652263,1565.00545811,5866.37023903,0.000151110000002,0,460.181094963,6948.97928584,81.8659523783,7.37589584099,7.37589484099,0,1.00000000001e-06,0,8.67752334234,4,4,1,0,15,2,11,25,3.85606078292,8.000000001,4.4,1.7763568394e-15,0.294111869415
2026-01-29,B3_fb2_plus_weather_s3a,0.5,3177.4910245,0,0,0,highs|highs+highs,0,0,0,5.00019581295e-10,1.00000000103e-06,1.40514705311e-07,4,0.1428,0.1428,-30.2437761367,1576.23912327,5800.46224544,0.000201230000084,0,449.889671206,6896.56772013,78.8240915109,7.11669286723,7.11669186723,0,1.00000000042e-06,0,8.37257866734,4,4,1,0,13,2,11,22,3.83292517947,8.000000001,4.4,1.7763568394e-15,0.317157201699
2026-01-29,B3_fb2_s3a,0,3041.35067788,0,0,0,highs|highs+highs_ipm_presolve_off,0,0,0,5.00024910366e-10,1.00000000103e-06,1.28514088209e-07,4,0.134611097266,0.134611097266,-11.9767254086,1639.16796255,5939.85196111,0.00020671000019,0,482.40127393,7084.64171762,86.5939910784,7.78124807143,7.78124707143,0,1.00000000092e-06,0,9.15440831933,4,4,1,0,9,2,10,20,3.88695994219,8.000000001,4.4,2.6645352591e-15,0.192722315092
2026-01-29,B3_fb2_s3a,0.5,3025.65793011,0,0,0,highs|highs+highs_tolerance_1e-9,0,0,0,5.00060437503e-10,1.00000000103e-06,1.30253634476e-07,4,0.126217608979,0.126217608979,-7.66772378859,1616.35780885,5932.62187107,0.000206320000275,0,488.220393733,7053.09135608,84.9081292239,7.67732896708,7.67732796708,0,1.00000000133e-06,0,9.0321505495,4,4,1,0,12,2,11,25,3.92208130099,8.000000001,4.4,0,0.269875107794
2026-01-29,B3_hist_independent,0,3241.60376901,0,0,0,highs|highs+highs,0,0,0,5.00040897577e-10,9.99999999252e-07,1.64379355765e-07,4,0.1428,0.1428,-43.8099125068,1617.7641059,4787.84544566,3.02999999508e-05,0,311.747851381,6050.05175737,77.4113301938,6.08348897949,6.08348797949,0,9.99999998377e-07,0,7.15704468176,4,4,0,0,5,1,4,10,4.2351434848,8.000000001,4.4,1.7763568394e-15,0.0757978757217
2026-01-29,B3_hist_independent,0.5,3229.99642786,0,0,0,highs|highs+highs,0,0,0,5.0000004137e-10,9.99999997475e-07,1.64392600428e-07,4,0.14138478306,0.14138478306,-19.3795605252,1613.16697149,4433.25474292,3.02999999239e-05,0,311.436657127,5715.60546646,78.1666022088,6.08299883859,6.08299783859,0,9.99999997489e-07,0,7.1564680454,4,4,0,0,6,0,4,10,4.03943197552,8.000000001,4.4,0,0.0738000493873
2026-01-29,B3_hist_paired,0,4879.055583,0,0,0,highs|highs+highs,0,0,0,5.00012475868e-10,9.99999999252e-07,2.03280990294e-07,4,0.1428,0.1428,-9.32345500299,1495.08243277,2032.5092779,3.02999999925e-05,0,231.124673541,3287.14355182,71.1111134459,4.91929913273,4.91929813273,0,9.99999999751e-07,0,5.78740956792,4,4,0,0,2,1,2,5,4.04599757392,8.000000001,4.4,0,0.104156206352
2026-01-29,B3_hist_paired,0.5,4825.67654578,0,0,0,highs|highs+highs,0,0,0,5.00049779362e-10,1.00000000014e-06,2.08550463971e-07,4,0.1428,0.1428,1.15182109024,1481.20352791,1785.56321412,5.66499999639e-05,0,227.858793803,3040.05971267,70.0126635672,4.79500251928,4.79500151928,0,9.99999999363e-07,0,5.64117825798,4,4,0,0,8,1,3,12,4.17647620704,8.000000001,4.4,8.881784197e-16,0.209689204645
2026-01-29,B3_hist_paired_shortfall,0,6110.99727077,0,0,0,highs|highs,0,-1,0,0,9.99999999252e-07,1.181308956e-07,4,0.1428,0.1428,-13.3547875989,1850.07140254,6153.43648119,0.00111802999966,0,534.978225764,7455.17375234,93.1744053028,8.46518596316,8.46518496316,0,9.99999999696e-07,0,9.95904113313,4,4,0,0,5,1,12,18,3.88695994219,8.000000001,4.4,3.5527136788e-15,0.116091638858
2026-01-29,B3_hist_paired_shortfall,0.5,6007.75431587,0,0,0,highs|highs,0,-1,0,0,9.99999997475e-07,1.22277319822e-07,4,0.0924821843407,0.0924821843407,12.5317874847,1731.10833047,6113.08350159,0.000201229999548,0,528.973433853,7327.74998446,89.9500008909,8.17813147142,8.17813047142,0,9.99999997753e-07,0,9.62132996638,4,4,0,0,10,3,13,25,4.13556224685,8.000000001,4.4,3.5527136788e-15,0.257567637094
2026-01-29,B3_pooled_empirical,0,4280.7067566,0,0,0,highs_ipm|highs+highs_tolerance_1e-9,0,0,0,4.99925434383e-10,1.00000000014e-06,1.38847576413e-07,4,0.132518306431,0.132518306431,-16.0249501407,1605.49833187,5567.20517652,0.000206319999909,0,419.570762516,6737.10758942,83.2464627311,7.20214227695,7.20214127695,0,9.99999999557e-07,0,8.47310738465,4,4,0,0,4,2,10,15,3.59886915852,8.000000001,4.4,8.881784197e-16,0.158683142046
2026-01-29,B3_pooled_empirical,0.5,4225.49187055,0,0,0,highs|highs+highs_tolerance_1e-9,0,0,0,4.99943197951e-10,1.00000000014e-06,1.34889742776e-07,4,0.112545558536,0.112545558536,9.69454131838,1544.772722,5886.2063586,0.000155400000108,0,442.762825679,6997.91064084,82.6658923629,7.41346213254,7.41346113254,0,1.00000000069e-06,0,8.72171897946,4,4,1,0,12,1,9,22,3.79071655913,8.000000001,4.4,-2.6645352591e-15,0.226537295241
2026-01-29,B3_pooled_empirical_analog,0,5919.79984537,0,0,0,highs_ipm|highs+highs,0,0,0,4.99987606872e-10,1.00000000014e-06,1.38847576413e-07,4,0.132518306431,0.132518306431,-13.4630032936,1605.49833187,5567.20304164,0.000155809999935,0,423.662951784,6735.57526263,83.2464627311,7.20214227695,7.20214127695,0,9.99999999585e-07,0,8.47310738465,4,4,0,0,5,2,11,16,3.86608596085,8.000000001,4.4,0,0.249560615237
2026-01-29,B3_pooled_empirical_analog,0.5,5935.70088685,0,0,0,highs|highs+highs,0,0,0,4.99980501445e-10,1.00000000014e-06,1.34889742776e-07,4,0.112545558536,0.112545558536,10.2477188091,1544.772722,5886.2063586,0.000155400000108,0,444.015588892,6997.21105512,82.6658923629,7.41346213254,7.41346113254,0,1.00000000069e-06,0,8.72171897946,4,4,1,0,14,1,9,21,3.79071655913,8.000000001,4.4,-3.5527136788e-15,0.232449006938
2026-01-29,B3_pooled_empirical_directqr,0,4354.88140394,0,0,0,highs_ipm|highs+highs_tolerance_1e-9,0,0,0,4.99925434383e-10,1.00000000014e-06,1.38847576413e-07,4,0.132518306431,0.132518306431,-16.0249501407,1605.49833187,5567.20517652,0.000206319999909,0,419.570762516,6737.10758942,83.2464627311,7.20214227695,7.20214127695,0,9.99999999557e-07,0,8.47310738465,4,4,0,0,4,2,10,15,3.59886915852,8.000000001,4.4,8.881784197e-16,0.158683142046
2026-01-29,B3_pooled_empirical_directqr,0.5,4306.66541251,0,0,0,highs|highs+highs_ipm,0,0,0,4.99944974308e-10,1.00000000103e-06,1.34889742896e-07,4,0.112545558536,0.112545558536,7.17267908425,1544.772722,5886.20655523,0.000155960000143,0,439.565395339,6998.58640501,82.6658923629,7.41346213254,7.41346113254,0,1.00000000092e-06,0,8.72171897946,4,4,1,0,11,1,10,22,3.79071655913,8.000000001,4.4,-1.7763568394e-15,0.206182568961
2026-01-29,B3_pooled_gaussian,0,3480.37514512,0,0,0,highs|highs+highs,0,0,0,4.99952079736e-10,1.00000000014e-06,1.27913833927e-07,4,0.13328335874,0.13328335874,-16.029554441,1636.54149407,5945.86104124,0.000206710000006,0,482.580017084,7083.79275707,86.7643552229,7.81776270355,7.81776170355,0,1.00000000003e-06,0,9.19736671006,4,4,1,0,9,2,10,20,3.88695994219,8.000000001,4.4,-8.881784197e-16,0.143626708916
2026-01-29,B3_pooled_gaussian,0.5,3455.58964543,0,0,0,highs|highs+highs,0,0,0,4.99953856092e-10,9.99999999252e-07,1.27780066814e-07,4,0.116912953915,0.116912953915,-2.52980548352,1597.22360673,5954.10264099,0.000201229999905,0,489.839305008,7058.95693599,85.8713848661,7.82594675512,7.82594575512,0,9.99999999529e-07,0,9.20699500603,4,4,0,0,10,2,11,22,3.84140706056,8.000000001,4.4,-8.881784197e-16,0.188757064123
2026-01-29,B3_pooled_gaussian_directqr,0,3558.42327741,0,0,0,highs|highs+highs,0,0,0,4.99952079736e-10,1.00000000014e-06,1.27913833927e-07,4,0.13328335874,0.13328335874,-15.2159818959,1636.54149407,5945.86104124,0.000206710000006,0,481.918318584,7085.26802812,86.7643552229,7.81776270355,7.81776170355,0,1.00000000003e-06,0,9.19736671006,4,4,1,0,9,2,10,20,3.88695994219,8.000000001,4.4,-8.881784197e-16,0.131898044364
