delivery_day,strategy,planned_profit_eur,base_terminal_soc_deviation_mwh,exclusivity_violations,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,schedule_gap_cost_eur,recovery_cost_eur,total_eur,committed_mw_hours,required_activation_mwh,delivered_activation_mwh,reserve_power_gap_mwh,reserve_energy_gap_mwh,day_ahead_gap_mwh,recovery_grid_mwh,max_committed_gross_power_mw,max_realised_gross_power_mw,slots_with_shortfall,slots_with_schedule_gap,activation_during_charge_slots,recovery_during_discharge_slots,recovery_during_activation_slots,recovery_overlap_slots,min_soc_mwh,max_soc_mwh,terminal_soc_mwh,terminal_soc_deviation_mwh,cycles,aggregation_quarter_total_eur,aggregation_hourly_total_eur,aggregation_cost_eur
2026-04-09,F08_LightGBM,1603.9411203256673,-8.881784197001252e-16,0,332.5365457983869,451.9200000000001,854.7149697796062,-15.32812197947356,0.0,-29.887908731694303,1684.387546289161,36.0,5.070295053895034,3.9246800188073143,1.145614035087719,1.0000000006393783e-06,0.0,4.617270609276893,4.0,4.0,2,0,0,1,5,6,8.326672684688674e-16,8.0,4.399999998999999,-1.0000009709187907e-09,1.3368339463074688,1527.5633647829486,1390.940906386859,136.62245839608954
2026-04-10,F08_LightGBM,1193.0758151481434,-5.329070518200751e-15,0,285.70373691228446,984.0799999999999,246.10749087666997,0.00014999999998766,0.0,122.94951546437665,1392.9415623245777,24.0,1.460574037799724,1.460573037799724,0.0,9.999999999177334e-07,0.0,1.7183212198561992,4.0,4.0,0,0,0,1,4,5,-2.000000026702864e-09,8.0,4.399999998999995,-1.0000054118108892e-09,1.8368339463074688,1868.8159106606097,1897.6738576763476,-28.857947015737864
2026-04-11,F08_LightGBM,1404.5432649711684,1.7763568394002505e-15,0,101.8551691362262,71.0,1112.7769484163402,-3.913657610000013,0.0,-203.46898095214743,1493.0147561147137,40.0,9.444189713836717,9.151688713836716,0.2925,1.0000000016940902e-06,0.0,10.766692604513782,4.0,4.0,2,0,0,0,9,9,2.11671948494576,8.000000001,4.400000000000001,8.881784197001252e-16,0.8398795005781798,834.8675143885432,734.9328553503886,99.93465903815456
2026-04-12,F08_LightGBM,898.7863745483019,-8.881784197001252e-16,0,596.8969900216957,758.1600000000001,1138.3224381024745,118.5126697675169,0.0,492.30266568887464,1882.5640926677788,28.0,13.367129014695976,7.883081398029804,3.5869999999999997,1.8970476166661714,0.0,9.274213406192871,4.0,4.0,7,0,0,1,13,14,-2.000000609569952e-09,8.0,4.399999996999999,-3.0000011363995327e-09,1.4219544457292888,1808.8647783669142,1761.3307465209393,47.53403184597482
2026-04-13,F08_LightGBM,1011.7628978732937,8.881784197001252e-16,0,111.0140371089334,1043.8799999999999,846.6477997677706,0.0003479900000583,0.0,696.4532997702155,1305.0881891164886,28.0,3.095369427015672,3.095368427015672,0.0,1.0000000001675335e-06,0.0,3.6416099130514317,4.0,4.0,1,0,0,1,2,3,3.6613908426268766,8.0,4.399999999,-1.000000082740371e-09,0.9219544457292888,2389.7928842637207,2373.121186307647,16.671697956073785
2026-04-14,F08_LightGBM,1522.889696159671,0.0,0,426.7641148255145,1291.2000000000003,661.7777500589809,0.00029369999989432014,0.0,464.62172980398026,1915.1198413805157,40.0,3.5524956056894634,3.552494605689464,0.0,9.999999996401776e-07,0.0,4.179405417373539,4.0,4.0,0,0,0,0,11,11,0.5841921251622368,8.0,4.399999998999999,-1.0000009709187907e-09,1.2719544457292886,2842.3022170102377,2771.7272759461275,70.57494106411013
2026-04-15,F08_LightGBM,1548.018835557882,0.0,0,278.17528761645303,2208.16,534.2493959400119,0.0001446199999559905,0.0,294.7199280955621,2725.8646108409025,44.0,3.2373656329427636,3.2373646329427634,0.0,9.999999996956888e-07,0.0,3.808664270796352,4.0,4.0,0,0,0,1,12,13,-2.0000000405806517e-09,8.0,4.399999996999999,-3.0000011363995327e-09,1.3368339463074688,2891.77508329364,2836.5695447096937,55.205538583946236
2026-04-16,F08_LightGBM,1660.8618041314369,8.881784197001252e-16,0,311.17331462474266,2515.96,538.1206369061736,0.00016418999993522427,0.0,329.8791835949811,3035.3746037459355,44.0,3.7354346925357538,3.7354336925357545,0.0,9.999999996054831e-07,0.0,4.394627873571475,4.0,4.0,0,0,0,1,7,8,4.3320355051361945,8.000000001,4.400000000000002,1.7763568394002505e-15,0.8368339463074688,3481.7187391902285,3413.542113208362,68.17662598186644
2026-04-17,F08_LightGBM,1471.7803560671746,1.7763568394002505e-15,0,312.9641725472511,1381.24,170.0931098018775,0.00014324000003592465,0.0,51.606674121761955,1812.6904649873668,36.0,1.2406542899461128,1.2406532899461127,0.0,1.0000000002508003e-06,0.0,1.4595921025649996,4.0,4.0,1,0,0,1,4,5,4.297934693532126,8.0,4.399999997000003,-2.999997583685854e-09,0.8398795005781798,1939.348764571517,1793.200747840307,146.14801673120996
2026-04-18,F08_LightGBM,1532.2830748674933,-8.881784197001252e-16,0,293.23736282467354,1109.08,285.1678295041655,5.6629999992197646e-05,0.0,50.779585468504614,1636.7055502303342,32.0,1.997096110507231,1.9970951105072308,0.0,9.999999998622222e-07,0.0,2.3495236561663146,4.0,4.0,0,0,0,1,4,5,-1.99999916628002e-09,8.0,4.399999996999999,-3.0000011363995327e-09,1.3368339463074688,1551.8525500932728,1510.5287655102654,41.32378458300741
