arm,seed,block,evaluation_set,n_days,energy_score_mean,variogram_score_mean
x09_block_copula,3,prices,main_211,211,4.028095767623553,406.9187463123108
x09_block_copula,1,activation,common_209,209,3.1140474995260656,141.46030262044826
x09_block_copula,1,all,common_209,209,5.271824869346033,1051.8477325201993
x09_block_copula,1,prices,common_209,209,4.020891180740512,408.0563892283118
x09_block_copula,2,activation,common_209,209,3.1042270031675896,140.59144216853923
x09_block_copula,2,all,common_209,209,5.259589332592797,1049.2661728160947
x09_block_copula,2,prices,common_209,209,4.020862093818895,407.8436975000071
x09_block_copula,3,activation,common_209,209,3.104424691778352,140.59152117861473
x09_block_copula,3,all,common_209,209,5.2727577005267054,1050.2560083874694
x09_block_copula,3,prices,common_209,209,4.029825266970999,407.8163355403218
