arm,method_name,evaluation_set,n_days,target,mae,rmse,rmae,n_valid
climatology,Rolling climatological scenarios,main_211,211,day_ahead_price,36.62227827178161,49.62566148909847,0.9870012060124336,5064
climatology,Rolling climatological scenarios,main_211,211,capacity_price,12.28993581226016,26.730409081797468,1.0582534556987768,5064
climatology,Rolling climatological scenarios,main_211,211,activation_volume,10.078134872677014,19.04710052306869,0.7414766543672869,5064
climatology,Rolling climatological scenarios,main_211,211,activation_price,79.58578154013847,205.3427006000809,0.6950593853417559,4464
climatology,Rolling climatological scenarios,common_209,209,day_ahead_price,36.69259040096288,49.745358119088806,0.9939120041631068,5016
climatology,Rolling climatological scenarios,common_209,209,capacity_price,12.238994210482216,26.70897515854132,1.0565494454052706,5016
climatology,Rolling climatological scenarios,common_209,209,activation_volume,10.123241626187756,19.125221031664097,0.747936289053679,5016
climatology,Rolling climatological scenarios,common_209,209,activation_price,79.8854157275542,206.24226882699213,0.6973244404312859,4417
fb1_qr,Independent quantile-regression scenarios,main_211,211,day_ahead_price,27.69873036460307,40.42244724822853,0.7465040834431533,5064
fb1_qr,Independent quantile-regression scenarios,main_211,211,capacity_price,9.53150234546427,24.06023751777742,0.820732138000774,5064
fb1_qr,Independent quantile-regression scenarios,main_211,211,activation_volume,10.022594925744102,19.31050926963396,0.7373904246674642,5064
fb1_qr,Independent quantile-regression scenarios,main_211,211,activation_price,76.86579745358593,202.48369355102784,0.671304508141925,4464
fb1_qr,Independent quantile-regression scenarios,common_209,209,day_ahead_price,27.7467309778682,40.51821268278284,0.7515906806749694,5016
fb1_qr,Independent quantile-regression scenarios,common_209,209,capacity_price,9.510220555921949,24.109888111466123,0.8209839862033277,5016
fb1_qr,Independent quantile-regression scenarios,common_209,209,activation_volume,10.056325035834632,19.386783302972475,0.7429922851354709,5016
fb1_qr,Independent quantile-regression scenarios,common_209,209,activation_price,77.05684143589066,203.33889819852908,0.672633650914968,4417
