arm,method_name,seed,target,evaluation_set,n_days,fit_window_empirical_resolution,extrapolated_quantile_levels,extrapolation_note,activation_positive_q99_note,quantile_level,exceedance_frequency,pressure_exceedance_frequency,n_valid,n_pressure
hist_paired,Historical paired scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.070695102685624,0.4481792717086835,5064,357
hist_paired,Historical paired scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0315955766192733,0.2408963585434173,5064,357
hist_paired,Historical paired scenarios,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0616113744075829,0.5790960451977402,5064,354
hist_paired,Historical paired scenarios,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.0272511848341232,0.3107344632768362,5064,354
hist_paired,Historical paired scenarios,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1013030685161832,,4758,0
hist_paired,Historical paired scenarios,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0350987810004203,,4758,0
hist_paired,Historical paired scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.2007575757575757,,5016,0
hist_paired,Historical paired scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1176236044657097,,5016,0
hist_paired,Historical paired scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0689792663476874,0.4501424501424501,5016,351
hist_paired,Historical paired scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0303030303030303,0.245014245014245,5016,351
hist_paired,Historical paired scenarios,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0616028708133971,0.5790960451977402,5016,354
hist_paired,Historical paired scenarios,1,activation_volume,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.027511961722488,0.3107344632768362,5016,354
hist_paired,Historical paired scenarios,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1012523880280195,,4711,0
hist_paired,Historical paired scenarios,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.034812141795797,,4711,0
hist_independent,Historical independent scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1968799368088467,,5064,0
hist_independent,Historical independent scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1232227488151658,,5064,0
hist_independent,Historical independent scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0714849921011058,0.4313725490196078,5064,357
hist_independent,Historical independent scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0290284360189573,0.238095238095238,5064,357
hist_independent,Historical independent scenarios,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0627962085308056,0.5706214689265536,5064,354
