arm,method_name,seed,evaluation_set,n_days,metric,target_x,target_y,lag_hours_y_after_x,observed_value,scenario_value,difference,n_observed_pairs,n_scenario_pairs
empirical_copula,Empirical-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,0,0.404124287098665,0.3937861762420049,-0.01033811085666,5064,506400
empirical_copula,Empirical-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,1,0.3719155400030419,0.3849962848774795,0.0130807448744376,4853,485300
empirical_copula,Empirical-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,0,-0.1444731753375065,-0.0712102916138794,0.073262883723627,5064,506400
empirical_copula,Empirical-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,1,-0.1881855028991759,-0.1061602624606501,0.0820252404385257,4853,485300
empirical_copula,Empirical-copula scenarios,1,main_211,211,spearman_rho,capacity_price,activation_volume,0,-0.0498793351406148,-0.0299022258822438,0.0199771092583709,5064,506400
empirical_copula,Empirical-copula scenarios,1,main_211,211,spearman_rho,capacity_price,activation_volume,1,-0.0457165786710576,-0.0409816069577089,0.0047349717133486,4853,485300
empirical_copula,Empirical-copula scenarios,1,main_211,211,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384152,0.8983289147747457,-0.0380554951636693,4853,485300
empirical_copula,Empirical-copula scenarios,1,main_211,211,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.7174671637827978,-0.0658109409743403,4853,485300
empirical_copula,Empirical-copula scenarios,1,main_211,211,spearman_rho,activation_volume,activation_volume,1,0.46886524499604,0.4169976741830306,-0.0518675708130094,4853,485300
empirical_copula,Empirical-copula scenarios,1,main_211,211,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.3625394944707741,0.1041568514727465,507,50640
empirical_copula,Empirical-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,0,0.4023380601509619,0.3941964135237323,-0.0081416466272296,5016,501600
empirical_copula,Empirical-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,1,0.3703260756256845,0.3854133900784536,0.0150873144527691,4807,480700
empirical_copula,Empirical-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,0,-0.1471066599905378,-0.0718107300775773,0.0752959299129604,5016,501600
empirical_copula,Empirical-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,1,-0.1908691464223756,-0.1066321381008314,0.0842370083215441,4807,480700
empirical_copula,Empirical-copula scenarios,1,common_209,209,spearman_rho,capacity_price,activation_volume,0,-0.0530813866637433,-0.0304324809058064,0.0226489057579368,5016,501600
empirical_copula,Empirical-copula scenarios,1,common_209,209,spearman_rho,capacity_price,activation_volume,1,-0.0494519364703486,-0.0413361958304163,0.0081157406399322,4807,480700
empirical_copula,Empirical-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,day_ahead_price,1,0.9365257124281304,0.8984664028310486,-0.0380593095970819,4807,480700
empirical_copula,Empirical-copula scenarios,1,common_209,209,spearman_rho,capacity_price,capacity_price,1,0.7815373266386816,0.716220286562376,-0.0653170400763055,4807,480700
