arm,method_name,target,evaluation_set,n_days,month,interval_level,coverage,coverage_deviation,average_width,n_valid
fb1_qr,Independent quantile-regression scenarios,activation_volume,main_211,211,2026-05,0.9,0.8978494623655914,-0.0021505376344086,64.01485641802365,744
fb1_qr,Independent quantile-regression scenarios,activation_volume,main_211,211,2026-06,0.9,0.9027777777777778,0.0027777777777777,55.46116745650268,720
fb1_qr,Independent quantile-regression scenarios,activation_volume,main_211,211,2026-07,0.9,0.9166666666666666,0.0166666666666666,46.42362951437993,744
fb1_qr,Independent quantile-regression scenarios,activation_volume,main_211,211,2026-08,0.9,0.9150641025641024,0.0150641025641025,28.352164599041654,624
fb1_qr,Independent quantile-regression scenarios,activation_price,main_211,211,2026-02,0.9,0.8255813953488372,-0.0744186046511627,306.1074861097176,602
fb1_qr,Independent quantile-regression scenarios,activation_price,main_211,211,2026-03,0.9,0.8504398826979472,-0.0495601173020527,668.5835875562162,682
fb1_qr,Independent quantile-regression scenarios,activation_price,main_211,211,2026-04,0.9,0.8779761904761905,-0.0220238095238095,319.8225277036862,672
fb1_qr,Independent quantile-regression scenarios,activation_price,main_211,211,2026-05,0.9,0.8879551820728291,-0.0120448179271709,416.7378078283896,714
fb1_qr,Independent quantile-regression scenarios,activation_price,main_211,211,2026-06,0.9,0.8512160228898427,-0.0487839771101573,456.2844919925007,699
fb1_qr,Independent quantile-regression scenarios,activation_price,main_211,211,2026-07,0.9,0.9125528913963328,0.0125528913963328,400.0517616935072,709
fb1_qr,Independent quantile-regression scenarios,activation_price,main_211,211,2026-08,0.9,0.8611570247933884,-0.0388429752066116,252.46712401015745,605
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,common_209,209,2026-02,0.9,0.8125,-0.0875,73.26281528644806,672
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,common_209,209,2026-03,0.9,0.553763440860215,-0.346236559139785,98.2526214112768,744
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,common_209,209,2026-04,0.9,0.7958333333333333,-0.1041666666666667,132.2267928299918,720
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,common_209,209,2026-05,0.9,0.853448275862069,-0.046551724137931,116.77616311283192,696
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,common_209,209,2026-06,0.9,0.7986111111111112,-0.1013888888888888,109.51630178881898,720
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,common_209,209,2026-07,0.9,0.7983870967741935,-0.1016129032258065,107.63305647855285,744
fb1_qr,Independent quantile-regression scenarios,day_ahead_price,common_209,209,2026-08,0.9,0.7435897435897436,-0.1564102564102564,111.5985713145092,624
fb1_qr,Independent quantile-regression scenarios,capacity_price,common_209,209,2026-02,0.9,0.7886904761904762,-0.1113095238095238,42.81525494508275,672
fb1_qr,Independent quantile-regression scenarios,capacity_price,common_209,209,2026-03,0.9,0.7728494623655914,-0.1271505376344086,45.67190875112359,744
fb1_qr,Independent quantile-regression scenarios,capacity_price,common_209,209,2026-04,0.9,0.8222222222222222,-0.0777777777777778,47.78540386053005,720
fb1_qr,Independent quantile-regression scenarios,capacity_price,common_209,209,2026-05,0.9,0.8520114942528736,-0.0479885057471264,46.706613673784354,696
fb1_qr,Independent quantile-regression scenarios,capacity_price,common_209,209,2026-06,0.9,0.8791666666666667,-0.0208333333333333,34.73159978105523,720
fb1_qr,Independent quantile-regression scenarios,capacity_price,common_209,209,2026-07,0.9,0.8723118279569892,-0.0276881720430107,36.29844528351549,744
fb1_qr,Independent quantile-regression scenarios,capacity_price,common_209,209,2026-08,0.9,0.8493589743589743,-0.0506410256410256,25.689006153353333,624
fb1_qr,Independent quantile-regression scenarios,activation_volume,common_209,209,2026-02,0.9,0.8541666666666666,-0.0458333333333333,44.32813996449857,672
fb1_qr,Independent quantile-regression scenarios,activation_volume,common_209,209,2026-03,0.9,0.875,-0.025,53.89372167455668,744
fb1_qr,Independent quantile-regression scenarios,activation_volume,common_209,209,2026-04,0.9,0.8722222222222222,-0.0277777777777777,62.1374970187215,720
fb1_qr,Independent quantile-regression scenarios,activation_volume,common_209,209,2026-05,0.9,0.896551724137931,-0.0034482758620689,63.851656429444056,696
fb1_qr,Independent quantile-regression scenarios,activation_volume,common_209,209,2026-06,0.9,0.9027777777777778,0.0027777777777777,55.46116745650268,720
fb1_qr,Independent quantile-regression scenarios,activation_volume,common_209,209,2026-07,0.9,0.9166666666666666,0.0166666666666666,46.42362951437993,744
fb1_qr,Independent quantile-regression scenarios,activation_volume,common_209,209,2026-08,0.9,0.9150641025641024,0.0150641025641025,28.352164599041654,624
fb1_qr,Independent quantile-regression scenarios,activation_price,common_209,209,2026-02,0.9,0.8255813953488372,-0.0744186046511627,306.1074861097176,602
fb1_qr,Independent quantile-regression scenarios,activation_price,common_209,209,2026-03,0.9,0.8504398826979472,-0.0495601173020527,668.5835875562162,682
fb1_qr,Independent quantile-regression scenarios,activation_price,common_209,209,2026-04,0.9,0.8779761904761905,-0.0220238095238095,319.8225277036862,672
fb1_qr,Independent quantile-regression scenarios,activation_price,common_209,209,2026-05,0.9,0.8905547226386806,-0.0094452773613193,419.2873060060967,667
fb1_qr,Independent quantile-regression scenarios,activation_price,common_209,209,2026-06,0.9,0.8512160228898427,-0.0487839771101573,456.2844919925007,699
fb1_qr,Independent quantile-regression scenarios,activation_price,common_209,209,2026-07,0.9,0.9125528913963328,0.0125528913963328,400.0517616935072,709
fb1_qr,Independent quantile-regression scenarios,activation_price,common_209,209,2026-08,0.9,0.8611570247933884,-0.0388429752066116,252.46712401015745,605
hist_paired,Historical paired scenarios,day_ahead_price,main_211,211,2026-02,0.9,0.918154761904762,0.0181547619047618,112.53722152124556,672
hist_paired,Historical paired scenarios,day_ahead_price,main_211,211,2026-03,0.9,0.5309139784946236,-0.3690860215053764,102.25545019186951,744
hist_paired,Historical paired scenarios,day_ahead_price,main_211,211,2026-04,0.9,0.5611111111111111,-0.3388888888888889,94.19050367791336,720
hist_paired,Historical paired scenarios,day_ahead_price,main_211,211,2026-05,0.9,0.7849462365591398,-0.1150537634408602,120.23374221445188,744
hist_paired,Historical paired scenarios,day_ahead_price,main_211,211,2026-06,0.9,0.7722222222222223,-0.1277777777777777,124.6237613025391,720
hist_paired,Historical paired scenarios,day_ahead_price,main_211,211,2026-07,0.9,0.7244623655913979,-0.1755376344086021,119.61784839303036,744
hist_paired,Historical paired scenarios,day_ahead_price,main_211,211,2026-08,0.9,0.6089743589743589,-0.2910256410256411,120.09426359982616,624
hist_paired,Historical paired scenarios,capacity_price,main_211,211,2026-02,0.9,0.5252976190476191,-0.3747023809523809,59.25131216371386,672
