arm,seed,target,scope,evaluation_set,n_days,mean_pinball,sample_crps,pit_ks_distance,n_valid,interval_level,coverage,average_width,zero_event_brier,positive_observation_crps,n_positive
empirical_copula,3,day_ahead_price,all_cells,common_209,209,7.859985932178148,21.779891076671127,0.12300637958532701,5016,0.98,0.8221690590111643,127.05527901871281,,,
empirical_copula,3,capacity_price,all_cells,common_209,209,2.7052107526501614,7.478504350864962,0.07416267942583732,5016,0.5,0.48963317384370014,14.03972683671347,,,
empirical_copula,3,capacity_price,all_cells,common_209,209,2.7052107526501614,7.478504350864962,0.07416267942583732,5016,0.8,0.7755183413078149,32.87550578692236,,,
empirical_copula,3,capacity_price,all_cells,common_209,209,2.7052107526501614,7.478504350864962,0.07416267942583732,5016,0.9,0.8534688995215312,44.22584427167571,,,
empirical_copula,3,capacity_price,all_cells,common_209,209,2.7052107526501614,7.478504350864962,0.07416267942583732,5016,0.98,0.8803827751196173,52.43591239803112,,,
empirical_copula,3,activation_volume,all_cells,common_209,209,2.861370503289481,7.909522967257044,0.045055821371610794,5016,0.5,0.5135566188197768,15.122395875446426,0.06215460526315789,8.122569253547956,4711.0
empirical_copula,3,activation_volume,all_cells,common_209,209,2.861370503289481,7.909522967257044,0.045055821371610794,5016,0.8,0.8255582137161085,39.26162085223341,0.06215460526315789,8.122569253547956,4711.0
empirical_copula,3,activation_volume,all_cells,common_209,209,2.861370503289481,7.909522967257044,0.045055821371610794,5016,0.9,0.9134768740031898,56.864884933834524,0.06215460526315789,8.122569253547956,4711.0
empirical_copula,3,activation_volume,all_cells,common_209,209,2.861370503289481,7.909522967257044,0.045055821371610794,5016,0.98,0.9427830940988836,65.71801836183083,0.06215460526315789,8.122569253547956,4711.0
empirical_copula,3,activation_volume,nondegenerate_cells,common_209,209,2.888370970328353,7.982471981663119,0.046094228023659034,4903,0.5,0.5127472975729146,15.18613158511669,0.06358708953701817,8.205593013440053,4598.0
empirical_copula,3,activation_volume,nondegenerate_cells,common_209,209,2.888370970328353,7.982471981663119,0.046094228023659034,4903,0.8,0.8258209259636957,39.323299457980376,0.06358708953701817,8.205593013440053,4598.0
empirical_copula,3,activation_volume,nondegenerate_cells,common_209,209,2.888370970328353,7.982471981663119,0.046094228023659034,4903,0.9,0.9141342035488477,56.92248861372546,0.06358708953701817,8.205593013440053,4598.0
empirical_copula,3,activation_volume,nondegenerate_cells,common_209,209,2.888370970328353,7.982471981663119,0.046094228023659034,4903,0.98,0.9441158474403426,65.58635250819057,0.06358708953701817,8.205593013440053,4598.0
empirical_copula,3,activation_price,all_cells,common_209,209,23.733403150194274,62.55579095949143,0.062156654638081066,4711,0.5,0.45786457227764804,73.01320552193316,,,
empirical_copula,3,activation_price,all_cells,common_209,209,23.733403150194274,62.55579095949143,0.062156654638081066,4711,0.8,0.7459138187221397,219.60990720208767,,,
empirical_copula,3,activation_price,all_cells,common_209,209,23.733403150194274,62.55579095949143,0.062156654638081066,4711,0.9,0.8448312460199533,411.1049224527242,,,
