datetime,Up,Down,sp,cloud_amount,wind_speed,precipitation_amount,pressure,air_temperature,relative_humidity,wind_direction,Down_Cap,Up_Cap,is_public_holiday,electricity_consumption,electricity_consumption_Finnish_networks,electricity_consumption_forecast
2025-03-08 11:00:00+00:00,34.91666793823242,-13.425000190734863,0.0,1.7619047457142858,6.182142857142857,0.0,1008.8119071428572,6.9535713928571425,63.29761857142857,274.7976178571429,19.52,18.1,0,10087.625,5665677.438,10052.925
2025-03-08 12:00:00+00:00,61.9800033569336,-12.979999542236328,0.01,1.6666666907142857,6.388095314285715,0.0,1008.8464307142857,7.3095236664285705,56.357142857142854,278.4523821428571,17.3,17.02,0,10114.375,5669347.0,10036.4
2025-03-08 13:00:00+00:00,90.65250396728516,-17.424999237060547,0.01,1.6785714285714286,6.2749999999999995,0.0,1008.9738100000001,7.390476097857143,51.34523771428571,281.03571500000004,17.3,20.0,0,10187.775,5782926.492,10084.65
2025-03-08 14:00:00+00:00,129.50498962402344,-4.2166666984558105,-0.01,1.7499999928571428,6.069047535714286,0.0,1009.249995,7.121428454285714,51.250000285714286,278.0357157142857,15.37,16.22,0,10371.9,6003801.659,10253.7
2025-03-08 15:00:00+00:00,60.584999084472656,-21.41749763488769,0.0,1.7857143000000002,5.950000078571429,0.0,1009.8107121428571,6.320237980714286,53.238094857142855,281.69047714285716,16.92,14.35,0,10650.75,6306631.224,10472.9
2025-03-08 16:00:00+00:00,146.4499969482422,-6.989999771118164,0.4,1.7499999857142858,5.715476171428572,0.0,1010.3404764285715,5.128571440714286,57.250000285714286,283.98809714285716,15.07,14.35,0,11125.8,6769465.03,10926.525
2025-03-08 17:00:00+00:00,106.3000030517578,-18.959999084472656,0.54,1.5357142857142858,5.6035714,0.0,1010.9988064285715,4.090476242857143,61.11904714285714,283.4523814285714,15.07,15.32,0,11155.55,6965148.442,11101.599999999999
2025-03-08 18:00:00+00:00,37.32500076293945,-14.912500381469728,0.01,1.5,5.283333335714286,0.0,1011.4523828571429,3.3857143,63.642857428571425,280.440475,15.07,14.35,0,10889.525000000001,6737892.527,10999.95
2025-03-08 19:00:00+00:00,58.77000045776367,-22.817501068115234,0.0,1.1547618928571428,5.1511903142857145,0.0,1011.93215,2.786904757142857,65.71428542857143,281.52380714285715,24.5,40.22,0,10536.95,6370851.604,10666.025
2025-03-08 20:00:00+00:00,76.5999984741211,-10.594999313354492,0.01,1.0595237978571428,4.902380978571428,0.0,1012.3381028571429,2.2964285785714287,67.20238171428572,282.27380857142856,15.07,14.35,0,10649.975,6444668.256,10734.0
2025-03-08 21:00:00+00:00,75.68500518798828,-1.5099999904632568,1.01,0.9761904714285714,4.829761914285714,0.0,1012.749997857143,1.832142842857143,68.88095285714286,283.738095,15.07,14.35,0,10417.375,6288155.183,10457.2
2025-03-08 22:00:00+00:00,107.76333618164062,-3.490000009536743,0.82,1.0714285714285714,4.50357145,0.0,1013.2011928571428,1.4000000142857143,70.40476142857143,284.92857142857144,15.07,40.22,0,10160.525,6020144.355,10227.775
2025-03-08 23:00:00+00:00,129.07501220703125,-8.855000495910645,1.51,1.29761905,4.322619035714285,0.0,1013.4654607142857,0.9654761885714286,72.71428685714285,285.0952378571429,23.98,13.9,0,9952.1875,5754894.189,9948.6
2025-03-09 00:00:00+00:00,80.02999877929688,-21.15999984741211,2.03,1.0952381214285716,4.115476200000001,0.0,1013.7107157142857,0.5130952464285715,74.65476171428573,286.7857142857143,24.0,13.9,0,9788.4725,5602354.693,9756.675
2025-03-09 01:00:00+00:00,65.03999328613281,-15.789999961853027,2.59,1.1071428714285714,3.8238095357142856,0.0,1013.958325,0.03452381571428572,76.45238114285713,276.5952392857143,24.5,14.45,0,9703.09,5515754.323,9723.2
2025-03-09 02:00:00+00:00,41.51333236694336,-21.65333366394043,3.78,1.4880952264285714,3.7523809614285715,0.0,1014.1797657142857,-0.34761904499999996,78.44047657142858,271.1547602857143,24.5,13.58,0,9767.1575,5502303.779,9701.575
2025-03-09 03:00:00+00:00,48.0,-11.763333320617676,4.89,1.9166666957142857,3.5095237478571426,0.0,1014.4047642857142,-0.8380952614285714,80.71428571428571,270.4166677142857,24.5,13.0,0,9909.055,5599342.538,9748.1
2025-03-09 04:00:00+00:00,111.18999481201172,-18.536664962768555,5.88,4.1904762,3.2959523785714286,0.0,1014.6904742857142,-1.033333339857143,81.48809542857143,283.29523714285716,24.5,12.92,0,9929.2225,5696035.361,9867.15
2025-03-09 05:00:00+00:00,13.960000038146973,-39.29750061035156,6.4,4.4761904885714285,3.0130952528571426,0.0,1015.0678664285715,-1.1071428671428571,81.39285771428571,276.0595217142857,24.5,15.2,0,9957.61,5630855.978,9931.625
2025-03-09 06:00:00+00:00,158.5333251953125,-3.5933332443237305,11.96,4.178571407142857,2.9749999907142857,0.0,1015.5749942857143,-0.5607142878571428,79.523808,263.4999992857143,21.47,15.5,0,10021.545,5756558.434,10092.925
2025-03-09 07:00:00+00:00,67.08999633789062,-4.4375,38.67,4.107142812142857,2.976190485714286,0.0,1015.9976185714286,0.45119047928571426,75.14285771428571,269.9523792857143,21.47,15.98,0,9707.6825,5746886.126,10107.875
2025-03-09 08:00:00+00:00,242.44000244140625,-13.220000267028809,50.7,3.7857142814285716,3.0000000071428574,0.0,1016.2666592857142,1.4309523878571428,69.90476114285714,274.02380928571426,21.75,22.54,0,9715.25,5691221.861,10143.0
2025-03-09 09:00:00+00:00,242.44000244140625,-27.107500076293945,54.83,4.130952371428571,2.7047619285714286,0.0,1016.3928628571429,2.4547619310714284,64.09523857142857,272.3928561428571,38.0,22.61,0,9683.53,5686349.888,9897.4
2025-03-09 10:00:00+00:00,115.26000213623048,-17.9950008392334,50.75,3.0595237928571426,2.792857192857143,0.0,1016.39761,3.2988095214285713,58.71428542857143,270.58333285714286,38.0,27.97,0,9672.057499999999,5667832.849,9750.025
