,datetime,Up,Down,sp,cloud_amount,wind_speed,precipitation_amount,pressure,air_temperature,relative_humidity,wind_direction,date,Down_Cap,Up_Cap,is_public_holiday,electricity_consumption,electricity_consumption_Finnish_networks,electricity_consumption_forecast
965,2024-07-31 03:00:00+00:00,30.0,-17.846830368041992,4.95,6.966666666666667,2.957777777777778,0.0066666666666666,1004.8344444444444,14.735555555555557,93.21111111111112,265.76666666666665,2024-07-31,24.2,14.45,0,30065.67,3825846.668,28715.9
966,2024-07-31 04:00:00+00:00,49.56280517578125,-23.779794692993164,11.58,7.355555555555555,3.051111111111111,0.0066666666666666,1004.5044444444444,15.127777777777776,91.04444444444444,253.6555555555556,2024-07-31,18.72,17.02,0,31454.81,4211943.937,30570.6
967,2024-07-31 05:00:00+00:00,65.68485260009766,-19.425159454345703,18.16,6.566666666666666,3.2211111111111115,0.2466666666666666,1004.2644444444444,15.624444444444444,87.51111111111112,259.4,2024-07-31,16.22,17.02,0,32757.19,4479886.32,31985.5
968,2024-07-31 06:00:00+00:00,53.28585815429688,-27.480955123901367,25.04,6.477777777777778,3.4322222222222223,0.3133333333333333,1003.9622222222222,16.162222222222223,83.67777777777778,255.1555555555556,2024-07-31,16.22,18.1,0,33837.82,4666171.475,32957.5
969,2024-07-31 07:00:00+00:00,48.88052368164063,-24.417089462280277,24.5,6.588888888888889,3.442222222222222,0.0266666666666666,1003.8255555555556,16.804444444444446,79.86666666666666,269.1666666666667,2024-07-31,12.47,16.22,0,34269.59,4752997.16,33446.0
970,2024-07-31 08:00:00+00:00,48.88052368164063,-21.418535232543945,23.07,6.888888888888888,3.453333333333333,0.0266666666666666,1003.7244444444444,17.555555555555554,76.57777777777778,272.22222222222223,2024-07-31,11.06,16.67,0,34728.64,4816397.376,33914.7
971,2024-07-31 09:00:00+00:00,48.88052368164063,-11.785774230957031,29.81,7.055555555555555,3.5766666666666667,0.0133333333333333,1003.5688888888888,17.996666666666666,74.84444444444445,262.77777777777777,2024-07-31,10.59,17.04,0,34886.8,4834665.294,34131.1
972,2024-07-31 10:00:00+00:00,50.17035675048828,-11.941245079040527,25.1,6.577777777777778,3.6422222222222222,0.04,1003.3222222222222,18.486666666666668,73.03333333333333,267.9555555555556,2024-07-31,11.28,15.76,0,34248.38,4800855.994,34123.7
973,2024-07-31 11:00:00+00:00,55.63644409179688,-16.04986572265625,23.14,6.688888888888888,3.801111111111111,0.04,1003.08,18.577777777777776,73.38888888888889,272.1777777777777,2024-07-31,13.76,14.04,0,34218.87,4739688.619,33977.3
974,2024-07-31 12:00:00+00:00,52.23161315917969,-19.92693519592285,27.02,6.511111111111111,3.9066666666666654,0.1866666666666666,1003.002222222222,18.00222222222222,77.31111111111112,281.0111111111111,2024-07-31,13.76,13.76,0,34554.56,4680954.256,34070.1
975,2024-07-31 13:00:00+00:00,52.23161315917969,-19.10808563232422,25.9,7.211111111111111,3.747777777777778,0.9399999999999998,1002.9988888888888,17.68777777777778,79.26666666666667,260.6222222222222,2024-07-31,13.76,13.76,0,34441.04,4637492.156,34036.9
976,2024-07-31 14:00:00+00:00,83.54705810546875,-22.9397087097168,30.0,6.622222222222222,3.352222222222222,0.0666666666666666,1003.0177777777776,17.585555555555555,80.22222222222221,272.94444444444446,2024-07-31,14.34,14.04,0,33954.759999999995,4605793.14,33880.9
977,2024-07-31 15:00:00+00:00,83.54705810546875,-23.324995040893555,32.58,6.855555555555555,3.0644444444444447,0.0866666666666666,1003.1111111111112,17.268888888888892,80.61111111111111,256.7555555555556,2024-07-31,17.4,14.35,0,33677.22,4575480.765,33401.6
978,2024-07-31 16:00:00+00:00,130.05316162109375,-10.066646575927734,33.35,6.322222222222222,2.745555555555556,0.0466666666666666,1003.0322222222222,17.06,81.66666666666667,229.22222222222223,2024-07-31,16.56,14.35,0,33470.82,4626266.875,33029.0
979,2024-07-31 17:00:00+00:00,88.19976043701172,-10.066646575927734,32.17,6.411111111111111,2.7366666666666664,0.0,1003.02,16.891111111111112,82.08888888888889,234.9222222222222,2024-07-31,14.34,14.35,0,32884.31,4582599.174,32762.8
980,2024-07-31 18:00:00+00:00,65.10306549072266,-13.539137840270996,26.76,5.811111111111112,2.655555555555556,0.0,1003.0388888888888,16.333333333333332,86.4111111111111,234.3111111111111,2024-07-31,16.02,14.35,0,31996.8,4374389.924,31753.7
981,2024-07-31 19:00:00+00:00,40.0,-20.77720260620117,28.51,6.422222222222223,2.525555555555556,0.0,1003.1555555555556,15.794444444444444,90.35555555555555,241.17777777777772,2024-07-31,18.1,16.22,0,32507.47,4475938.935,31754.0
982,2024-07-31 20:00:00+00:00,45.085205078125,-25.180280685424805,4.99,6.988888888888889,2.8233333333333333,0.0,1003.0877777777775,15.514444444444443,91.88888888888889,249.6555555555556,2024-07-31,20.0,14.35,0,31219.62,4265492.338,31156.8
