delivery_day,strategy,planned_profit_eur,energy_eur,capacity_eur,activation_eur,shortfall_cost_eur,schedule_gap_cost_eur,total_eur,committed_mw_hours,required_activation_mwh,delivered_activation_mwh,reserve_power_gap_mwh,reserve_energy_gap_mwh,day_ahead_gap_mwh,slots_with_shortfall,slots_with_schedule_gap,min_soc_mwh,max_soc_mwh,terminal_soc_mwh,terminal_soc_deviation_mwh,cycles
2026-03-03,Oracle,2651.201241035604,1019.8799979048107,1631.321243130793,306.17325893636735,0.0,5.645250000000041,2951.729249971971,72.05000000000001,2.772225026437396,2.772225026437396,0.0,0.0,0.11134615384615465,0,1,0.0,7.999999999999999,1.5138716398439584,-2.886128360156042,1.5564088914585772
2026-03-04,B0,1422.3239235973706,3121.8876601152824,0.0,0.0,0.0,3.5661251729379727e-13,3121.887660115282,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-15,0,0,0.0,7.999999999999999,4.4000000000000075,7.105427357601002e-15,2.7555839463074676
2026-03-04,B1,2444.1145917912836,964.5027520191184,3318.84,3729.212023568758,0.0,30.37786966507177,7982.1769059228045,36.0,4.125586906778273,4.125586906778273,0.0,0.0,1.9458500797448168,0,3,0.0,7.999999999999999,2.0357434609372342,-2.364256539062766,1.6555839463074686
2026-03-04,Oracle,5568.76645477613,1663.7805573458595,3904.985897430269,4051.810789123002,116.31709827922019,176.38474230574585,9327.875403314165,85.18237136440527,8.436728358113818,7.012348169015276,0.00550000000000006,1.418880189098542,2.992558695331062,30,6,-3.469446951953614e-18,6.5420696205492535,0.03992614569534556,-4.360073854304654,1.0594544457292883
2026-03-05,B0,3309.4743879570874,1217.2575501911638,0.0,0.0,0.0,7.189138173657739e-13,1217.257550191163,0.0,0.0,0.0,0.0,0.0,4.6074255521944e-15,0,0,0.0,7.999999999999999,4.4000000000000075,7.105427357601002e-15,2.736833946307468
2026-03-05,B1,4729.312941665337,172.05750497563915,3927.6800000000003,1043.6506983450777,29.76544350080549,394.07821103213473,4719.544548787777,76.0,7.7835003475231,7.375635565834309,0.0,0.4078647816887904,3.3190360046254392,14,4,0.0,4.411790677170148,0.0,-4.4,0.5282044457292887
2026-03-05,Oracle,4257.4139395961,358.14860884334206,3899.265330752758,1020.6087960140131,32.31524476259587,394.0782110321347,4851.629279815383,85.79915257888759,7.796286433481335,7.375635565834314,0.0,0.4206508676470212,3.3190360046254392,14,4,0.0,7.356388813075553,0.0,-4.4,0.9430839463074686
2026-03-06,B0,1274.9432304541795,1453.744934293267,0.0,0.0,0.0,1.471174293499189e-12,1453.7449342932657,0.0,0.0,0.0,0.0,0.0,8.215650382226158e-15,0,0,0.0,7.999999999999999,4.400000000000006,5.329070518200751e-15,2.5001588914585775
2026-03-06,B1,4133.245541321762,363.53195214412153,3582.16,1189.481224355221,269.62068357799944,390.5993227624594,4474.953170158883,48.0,9.150400104019695,7.375635565834309,0.0,1.774764538185387,3.3190360046254384,18,4,0.0,7.999999999999999,0.0,-4.4,1.0868339463074685
2026-03-06,Oracle,4256.748968062062,610.6146144684128,3646.1343535936494,2145.8213303965144,261.3354189109138,1440.26236170454,4700.972517843123,72.55127113166861,16.25966625666539,14.450510398807893,0.04310738158577676,1.7660484762717215,10.393910837599023,20,12,0.0,5.990563737466751,0.0,-4.4,1.4430839463074685
2026-03-07,B0,1599.400876873097,631.1973321086896,0.0,0.0,0.0,8.55409076905289e-13,631.1973321086887,0.0,0.0,0.0,0.0,0.0,5.329070518200751e-15,0,0,0.0,7.999999999999999,4.399999999999999,-1.7763568394002505e-15,2.3939088914585773
2026-03-07,B1,3860.2949785793526,-97.63934501513216,1714.2,9792.824417656611,2740.944686793977,953.0473349999997,7715.393050847502,56.0,11.211310444456172,7.845099561208871,1.6228072289156625,1.7434036543316382,3.788499999999999,28,4,0.0,6.569304578186562,0.0,-4.4,0.875
2026-03-07,Oracle,2168.3306763640894,510.74748525537314,1657.5831911087166,3316.030941471073,1092.2195187263274,837.1649941953493,3554.977104913487,68.90456575053908,22.703543440072053,11.945418698364431,2.5995,8.158624741707623,7.888819137155559,55,12,0.0,4.0664216118790595,0.0,-4.4,1.365704445729289
2026-03-08,B0,851.0007168166301,632.0759846497654,0.0,0.0,0.0,1.5323575741632568e-13,632.0759846497652,0.0,0.0,0.0,0.0,0.0,1.8318679906315083e-15,0,0,0.0,7.999999999999999,4.399999999999997,-3.552713678800501e-15,1.9977793908803974
2026-03-08,B1,2086.0907495107917,380.1270053265848,1381.36,3777.153740188455,0.0,2.390809171285598,5536.249936343754,24.0,4.077523849422468,4.077523849422468,0.0,0.0,0.020924288213597042,0,1,0.0,7.999999999999999,0.0,-4.4,1.3657044457292886
2026-03-08,Oracle,1902.2081977074583,403.6208887964356,1498.587308911023,3945.435454311526,496.5089331430695,656.4913962344193,4694.6433226414965,68.35520131637338,14.962149026984978,10.80684530121247,1.1755389082101553,2.9797648175623563,6.750245740003598,36,11,0.0,4.304841528672732,0.0,-4.4,1.2594544457292889
2026-03-09,B0,704.1324540855591,1210.8353975505497,0.0,0.0,0.0,5.009459513871661e-13,1210.8353975505493,0.0,0.0,0.0,0.0,0.0,2.1094237467877974e-15,0,0,0.0,7.999999999999999,4.399999999999995,-5.329070518200751e-15,1.9790293908803975
2026-03-09,B1,1827.523215887394,410.4030365572181,3293.5600000000004,775.5738358191074,0.0,0.0,4479.536872376326,24.0,3.685658169200134,3.685658169200134,0.0,0.0,0.0,0,0,0.0,7.999999999999999,0.40234242996172087,-3.9976575700382795,1.3657044457292886
2026-03-09,Oracle,4673.539223482049,596.1026850895739,4077.436538392474,1550.6166094568625,0.0,747.6474329967564,5476.508399942155,72.6743644341657,8.702015686293752,8.702015686293752,0.0,0.0,4.64541612508488,0,6,0.0,7.008596103853857,0.0,-4.4,1.3368339463074685
2026-03-10,B0,1712.005212003241,1086.3294150987579,0.0,0.0,0.0,1.3464040993227402e-12,1086.3294150987565,0.0,0.0,0.0,0.0,0.0,6.5503158452884236e-15,0,0,0.0,7.999999999999999,4.4,0.0,2.162658891458578
2026-03-10,B1,4313.956734029466,-117.49513439988692,4345.639999999999,2182.4542207076606,0.0,298.2111018599242,6112.387984447849,64.0,7.491257638020537,7.491257638020537,0.0,0.0,3.4346580768116626,0,5,0.0,5.676132470617645,0.0,-4.4,0.6719544457292886
2026-03-10,Oracle,4568.112470433896,172.60223272511172,4395.510237708785,1087.8431158231217,1110.016988116045,118.3,4427.638598140974,87.49915257888759,10.347488821027367,3.9999999999999987,0.0,6.347488821027371,1.0,43,1,0.0,6.060641707101213,1.1460431327201586,-3.253956867279842,0.5469544457292888
2026-03-11,B0,1181.2344428868912,577.2058586126068,0.0,0.0,0.0,9.641687448436188e-13,577.2058586126059,0.0,0.0,0.0,0.0,0.0,7.327471962526033e-15,0,0,0.0,7.999999999999999,4.400000000000006,5.329070518200751e-15,2.500158891458578
2026-03-11,B1,4352.7250522423865,22.30355085170202,2349.6400000000003,808.3101239241404,477.47227581715083,48.67,2654.111398958692,60.0,7.14569146564325,4.0,0.8681318681318684,2.277559597511382,1.0,21,1,0.0,4.28274956348482,1.1460431327201577,-3.2539568672798427,0.25
2026-03-11,Oracle,2917.9044284344154,666.5848799327434,2251.3195485016718,589.1849778734179,54.71504692839097,5.507394403989807,3446.866964975452,49.84915257888758,4.575599118226242,4.439839877156368,0.13575924106987314,0.0,0.7313936791487091,1,1,0.0,7.805521844565575,0.3776253423517135,-4.022374657648287,2.152242224791911
2026-03-12,B0,907.1185417090356,1085.248174107423,0.0,0.0,0.0,3.4420792605072134e-13,1085.2481741074225,0.0,0.0,0.0,0.0,0.0,3.559652572704408e-15,0,0,0.0,8.0,4.4,0.0,2.872779390880397
2026-03-12,B1,2840.668273217163,454.7915583321143,421.12,233.6116642264537,0.0,74.92383326409076,1034.5993892944773,40.0,2.017180799586527,2.017180799586527,0.0,0.0,0.7886719290956923,0,1,0.0,7.999999999999995,3.0674950414507114,-1.332504958549289,1.8844544457292887
2026-03-12,Oracle,1406.70115660384,1144.0142095398278,262.6869470640123,279.7293845215311,0.6047831460674158,933.9426978856688,751.8830600936349,34.30787069287749,6.382682152993574,6.217541703555371,0.15749999999999997,0.007640449438202248,6.2068071816817625,2,8,0.0,6.897408906331571,4.388356776277466,-0.011643223722534124,2.4759838366096862
2026-03-13,B0,1222.2812176659036,598.5479116995257,0.0,0.0,0.0,1.1490947082748446e-13,598.5479116995256,0.0,0.0,0.0,0.0,0.0,2.0886070650760757e-15,0,0,0.0,7.999999999999999,4.400000000000005,4.440892098500626e-15,3.122779390880396
2026-03-13,B1,1206.6190544594906,432.08067352461103,1048.52,472.58096800206084,-2.948,154.8696262389418,1801.2600152877303,16.0,6.566269598522407,5.092269598522407,1.474,0.0,4.092269598522403,2,5,0.0,7.999999999999999,3.3153477109067184,-1.084652289093282,2.9883249451511085
2026-03-13,Oracle,2609.6437953804107,619.2191631566895,1990.424632223721,805.4371451546481,651.4398115765013,981.1853847058461,1782.4557442527116,57.61344990759548,32.110986005029744,8.62097780786116,13.186828284295402,10.303179912873189,4.564378246652295,43,9,0.0,7.997288369277267,0.0,-4.4,2.1814088914585774
2026-03-14,B0,760.7770664569326,55.12569321240679,0.0,0.0,0.0,1.059452525709048e-12,55.12569321240573,0.0,0.0,0.0,0.0,0.0,5.10702591327572e-15,0,0,0.0,8.0,4.400000000000006,5.329070518200751e-15,2.794733836609686
2026-03-14,B1,2558.2758058631975,-108.50472402610237,1438.84,500.20332332657745,0.0,0.0,1830.538599300475,28.0,2.7392748541650462,2.7392748541650462,0.0,0.0,0.0,0,0,4.440892098500626e-16,8.0,1.428839258974214,-2.9711607410257863,2.2876588914585767
2026-03-14,Oracle,1740.8211608895165,67.9571493266493,1672.8640115628673,1686.6172319953082,1275.0505569073894,511.08091734091823,1641.3069186365171,84.7211511162505,14.524619041899658,7.37563556583431,0.2286255620001898,6.920357914065157,3.3190360046254392,54,4,0.0,4.237302156636008,0.0,-4.4,0.5398795005781798
2026-03-15,B0,305.9836587185075,282.49480594579103,0.0,0.0,0.0,2.2387647291566282e-13,282.4948059457908,0.0,0.0,0.0,0.0,0.0,2.0539125955565396e-15,0,0,0.0,7.999999999999999,4.399999999999997,-3.552713678800501e-15,1.6532044457292887
2026-03-15,B1,1548.0915858432497,66.18022580174346,1114.36,420.68198943089396,0.0,0.0,1601.2222152326374,32.0,2.3220378142234894,2.3220378142234894,0.0,0.0,0.0,0,0,1.8813963694413298,6.527068646345204,1.8813963694413298,-2.5186036305586708,0.6648795005781799
2026-03-15,Oracle,1739.4056463592594,796.3330506949413,943.0725956643184,173.42158165467197,0.0,144.24778747790072,1768.5794405360311,32.7147210392641,1.4667336412280594,1.4667336412280594,0.0,0.0,1.4601422681477745,0,2,0.0,7.934282222705254,4.3928506521001935,-0.007149347899806813,1.7477793908803976
2026-03-16,B0,972.4968581581752,761.9235222795306,0.0,0.0,0.0,0.0,761.9235222795306,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.220446049250313e-16,7.999999999999999,4.399999999999995,-5.329070518200751e-15,1.8540293908803973
2026-03-16,B1,1520.4195758085398,318.0287922707487,2056.2,4451.602289408267,1.8729333333333427,322.8308094760777,6501.1273388696045,28.0,5.15393826920081,5.132985888248429,0.020952380952381056,0.0,2.776386327039562,1,4,0.0,7.999999999999999,1.8439088914585775,-2.556091108541423,1.71487950057818
