family,block,arm,comparator,metric,mean_loss_difference_a_minus_b,dm_statistic,p_value,newey_west_lags,n_valid_days,confidence_lower,confidence_upper,confidence_level,block_days,bootstrap_repetitions,bootstrap_seed
joint_surface,prices,surface_full4,own_pooled__independent,energy_score,-0.03488539582217642,-1.9783603372103742,0.04788807081366921,6,211,-0.0700891106850315,-0.0019929489455363606,0.95,7,2000,1
joint_surface,prices,surface_full4,own_pooled__independent,variogram_score,-24.88222182078367,-4.142467325012024,3.435893318798694e-05,6,211,-37.38002073315689,-13.63756570817213,0.95,7,2000,1
joint_surface,prices,surface_full4,surface_prices2,energy_score,0.005500665699062817,1.2413413231102464,0.21447968535585915,6,211,-0.004122564307665914,0.013479615583867233,0.95,7,2000,1
joint_surface,prices,surface_full4,surface_prices2,variogram_score,1.211520150626079,1.8888820082537021,0.0589076407867597,6,211,-0.19473198517892673,2.3223604715921566,0.95,7,2000,1
joint_surface,prices,surface_prices2,own_pooled__empirical,energy_score,-3.376727219387616e-05,-0.004470862624107141,0.9964327796227227,6,211,-0.0159507723816769,0.015347685761496577,0.95,7,2000,1
joint_surface,prices,surface_prices2,own_pooled__empirical,variogram_score,0.7793609972615837,0.9479579532273879,0.34315085994264816,6,211,-0.8556425105466727,2.486638669118009,0.95,7,2000,1
joint_surface,activation,surface_full4,own_pooled__gaussian,energy_score,-0.027631457129892865,-2.814273821999478,0.0048887566398456315,6,211,-0.04713479570155637,-0.009042304846039241,0.95,7,2000,1
joint_surface,activation,surface_full4,own_pooled__gaussian,variogram_score,-1.9381278010141143,-2.7276250988196074,0.006379206374385024,6,211,-3.2716629392708003,-0.5702055836449155,0.95,7,2000,1
joint_surface,activation,surface_full4,own_pooled__empirical,energy_score,-0.014518466889468533,-1.257208891321292,0.2086780045277803,6,211,-0.03377452461773649,0.011309060115762106,0.95,7,2000,1
joint_surface,activation,surface_full4,own_pooled__empirical,variogram_score,-0.388366571779445,-0.5283895831810829,0.597228966003703,6,211,-1.633342631727797,1.2747530998787564,0.95,7,2000,1
joint_surface,activation,surface_full4,own_pooled__independent,energy_score,-0.032265088563602294,-2.7930791838233096,0.005220891003934451,6,211,-0.053720020050327076,-0.010002608914778019,0.95,7,2000,1
joint_surface,activation,surface_full4,own_pooled__independent,variogram_score,-2.224209765446878,-2.5353746181471535,0.011232713125919313,6,211,-3.802229963379057,-0.4350498123803129,0.95,7,2000,1
joint_surface,activation,surface_full4,surface_prices2,energy_score,-0.007870555618947271,-1.3261621505851233,0.1847859933224446,6,211,-0.018541450815420052,0.003476189328703659,0.95,7,2000,1
joint_surface,activation,surface_full4,surface_prices2,variogram_score,-0.42710483689018547,-1.1629884604619716,0.2448341843508569,6,211,-1.1030218945308985,0.27273982948711323,0.95,7,2000,1
joint_surface,activation,surface_prices2,own_pooled__empirical,energy_score,-0.00664791127052126,-0.5611039658256561,0.5747266647736586,6,211,-0.027696000959306633,0.01876508282310459,0.95,7,2000,1
joint_surface,activation,surface_prices2,own_pooled__empirical,variogram_score,0.038738265110740536,0.04957393899007949,0.9604619147623162,6,211,-1.3280340561418644,1.7495724825057855,0.95,7,2000,1
joint_surface,four_targets_observed,surface_full4,own_pooled__gaussian,energy_score,0.02125870247967039,2.5027110876120235,0.012324610606649961,6,211,0.004211058374986982,0.03830545993428262,0.95,7,2000,1
joint_surface,four_targets_observed,surface_full4,own_pooled__gaussian,variogram_score,-3.0671809436773954,-1.2486072591842483,0.21180875596018678,6,211,-8.170778835814072,1.5542391226795387,0.95,7,2000,1
joint_surface,four_targets_observed,surface_full4,own_pooled__empirical,energy_score,0.006442744652971538,0.5309420457120131,0.5954589402331001,6,211,-0.014180582530002688,0.03378638905505418,0.95,7,2000,1
joint_surface,four_targets_observed,surface_full4,own_pooled__empirical,variogram_score,5.526064607557102,1.652661832532483,0.09839970631542559,6,211,-0.619406148672882,13.053662722711408,0.95,7,2000,1
joint_surface,four_targets_observed,surface_full4,own_pooled__independent,energy_score,-0.02046269347806881,-1.752143542334363,0.07974912871597381,6,211,-0.04298713319057126,0.0023628536049979717,0.95,7,2000,1
joint_surface,four_targets_observed,surface_full4,own_pooled__independent,variogram_score,-30.96946990582805,-4.495516072046836,6.940141557583439e-06,6,211,-45.36940879709895,-17.977209883096222,0.95,7,2000,1
joint_surface,four_targets_observed,surface_full4,surface_prices2,energy_score,0.004515997083670278,0.7626213675221977,0.4456892376241689,6,211,-0.0071841880142567895,0.01626384407236321,0.95,7,2000,1
joint_surface,four_targets_observed,surface_full4,surface_prices2,variogram_score,2.4336531092297595,1.1134499744118687,0.2655152220486813,6,211,-2.0939441782683517,6.48936711543469,0.95,7,2000,1
joint_surface,four_targets_observed,surface_prices2,own_pooled__empirical,energy_score,0.0019267475693012606,0.17192265486339095,0.8634983357602284,6,211,-0.01641466293674719,0.026860561073411147,0.95,7,2000,1
joint_surface,four_targets_observed,surface_prices2,own_pooled__empirical,variogram_score,3.092411498327343,1.0620037279024235,0.28823399282284723,6,211,-2.0380729697379976,9.386918985434166,0.95,7,2000,1
