seed,arm,metric,target_x,target_y,lag_hours_y_after_x,observed_value,scenario_value,difference,n_observed_pairs,n_scenario_pairs
2,own_pooled__independent,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.2280608214849921,-0.030321821513035502,507,50640
2,own_pooled__gaussian,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.3826173594241159,-0.021506927674549148,5064,506400
2,own_pooled__gaussian,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.3497836930412542,-0.02213184696178777,4853,485300
2,own_pooled__gaussian,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.09698067079246618,0.04749250454504035,5064,506400
2,own_pooled__gaussian,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.12581065414804476,0.06237484875113117,4853,485300
2,own_pooled__gaussian,spearman_rho,day_ahead_price,activation_price,0,0.6047034386466197,0.326967453913062,-0.2777359847335577,4758,506400
2,own_pooled__gaussian,spearman_rho,day_ahead_price,activation_price,1,0.5608576248905536,0.3101902240668538,-0.25066740082369976,4552,485300
2,own_pooled__gaussian,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.04155536836279108,0.008323966777823773,5064,506400
2,own_pooled__gaussian,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.05678832269339642,-0.011071744022338799,4853,485300
2,own_pooled__gaussian,spearman_rho,capacity_price,activation_price,0,0.2959448492751495,0.19620544701855297,-0.09973940225659655,4758,506400
2,own_pooled__gaussian,spearman_rho,capacity_price,activation_price,1,0.2725683509800638,0.17277348544085855,-0.09979486553920527,4552,485300
2,own_pooled__gaussian,spearman_rho,activation_volume,activation_price,0,0.19322489565029485,0.013876156210553114,-0.17934873943974175,4758,506400
2,own_pooled__gaussian,spearman_rho,activation_volume,activation_price,1,0.0510816303376622,0.011601704884599898,-0.0394799254530623,4552,485300
2,own_pooled__gaussian,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.7612024616526833,-0.17518194828573175,4853,485300
2,own_pooled__gaussian,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.6174409567829686,-0.1658371479741696,4853,485300
2,own_pooled__gaussian,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.14148832650342588,-0.3273769184926142,4853,485300
2,own_pooled__gaussian,spearman_rho,activation_price,activation_price,1,0.6420283903589196,0.3181890449553943,-0.32383934540352527,4363,485300
2,own_pooled__gaussian,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.3253159557661927,0.06693331276816511,507,50640
2,own_pooled__empirical,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.40220606678983084,-0.0019182203088342065,5064,506400
2,own_pooled__empirical,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.3665743817663736,-0.005341158236668364,4853,485300
2,own_pooled__empirical,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.09605284505677085,0.04842033028073568,5064,506400
2,own_pooled__empirical,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.1244520873807207,0.06373341551845524,4853,485300
2,own_pooled__empirical,spearman_rho,day_ahead_price,activation_price,0,0.6047034386466197,0.40052823248482694,-0.20417520616179274,4758,506400
2,own_pooled__empirical,spearman_rho,day_ahead_price,activation_price,1,0.5608576248905536,0.3647970686101728,-0.19606055628038077,4552,485300
2,own_pooled__empirical,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.02544717823556034,0.02443215690505451,5064,506400
2,own_pooled__empirical,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.03671081095093975,0.009005767720117873,4853,485300
2,own_pooled__empirical,spearman_rho,capacity_price,activation_price,0,0.2959448492751495,0.22479423360621878,-0.07115061566893074,4758,506400
2,own_pooled__empirical,spearman_rho,capacity_price,activation_price,1,0.2725683509800638,0.20259203207776225,-0.06997631890230158,4552,485300
2,own_pooled__empirical,spearman_rho,activation_volume,activation_price,0,0.19322489565029485,0.30343800057214576,0.11021310492185091,4758,506400
2,own_pooled__empirical,spearman_rho,activation_volume,activation_price,1,0.0510816303376622,0.1116179066842576,0.0605362763465954,4552,485300
2,own_pooled__empirical,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.9190573599522504,-0.017327049986164744,4853,485300
2,own_pooled__empirical,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.770886208454332,-0.012391896302806238,4853,485300
2,own_pooled__empirical,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.4149743299534675,-0.05389091504257254,4853,485300
2,own_pooled__empirical,spearman_rho,activation_price,activation_price,1,0.6420283903589196,0.5287629393657686,-0.113265450993151,4363,485300
2,own_pooled__empirical,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.32630331753554503,0.06792067453751743,507,50640
2,surface_prices2,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.3919183795873724,-0.012205907511292635,5064,506400
2,surface_prices2,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.35589187647983506,-0.016023663523206888,4853,485300
2,surface_prices2,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.09278487497734386,0.05168830036016267,5064,506400
2,surface_prices2,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.12029047283228445,0.06789503006689149,4853,485300
2,surface_prices2,spearman_rho,day_ahead_price,activation_price,0,0.6047034386466197,0.3558693199098338,-0.2488341187367859,4758,506400
2,surface_prices2,spearman_rho,day_ahead_price,activation_price,1,0.5608576248905536,0.33163863501354907,-0.2292189898770045,4552,485300
2,surface_prices2,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.02110078922399322,0.02877854591662163,5064,506400
2,surface_prices2,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.03650519789831612,0.009211380772741501,4853,485300
2,surface_prices2,spearman_rho,capacity_price,activation_price,0,0.2959448492751495,0.19004625416757268,-0.10589859510757685,4758,506400
2,surface_prices2,spearman_rho,capacity_price,activation_price,1,0.2725683509800638,0.16260461101138282,-0.109963739968681,4552,485300
2,surface_prices2,spearman_rho,activation_volume,activation_price,0,0.19322489565029485,0.28335562983772017,0.09013073418742532,4758,506400
2,surface_prices2,spearman_rho,activation_volume,activation_price,1,0.0510816303376622,0.10735114183878983,0.05626951150112763,4552,485300
2,surface_prices2,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.9070012835039586,-0.029383126434456508,4853,485300
2,surface_prices2,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.7602039696371689,-0.023074135119969363,4853,485300
2,surface_prices2,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.414017585423351,-0.054847659572689056,4853,485300
2,surface_prices2,spearman_rho,activation_price,activation_price,1,0.6420283903589196,0.48963455139480594,-0.15239383896411363,4363,485300
2,surface_prices2,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.3346563981042654,0.0762737551062378,507,50640
2,surface_full4,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.4012263502799838,-0.0028979368186812238,5064,506400
2,surface_full4,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.3673140303499065,-0.004601509653135438,4853,485300
2,surface_full4,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.10149943833486649,0.04297373700264004,5064,506400
2,surface_full4,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.12916263564280597,0.05902286725636996,4853,485300
2,surface_full4,spearman_rho,day_ahead_price,activation_price,0,0.6047034386466197,0.3537813594701619,-0.25092207917645776,4758,506400
2,surface_full4,spearman_rho,day_ahead_price,activation_price,1,0.5608576248905536,0.3311129322429196,-0.22974469264763397,4552,485300
2,surface_full4,spearman_rho,capacity_price,activation_volume,0,-0.04987933514061485,-0.02512571898983162,0.02475361615078323,5064,506400
2,surface_full4,spearman_rho,capacity_price,activation_volume,1,-0.04571657867105762,-0.03945885635056839,0.006257722320489233,4853,485300
2,surface_full4,spearman_rho,capacity_price,activation_price,0,0.2959448492751495,0.18961926369980162,-0.10632558557534791,4758,506400
2,surface_full4,spearman_rho,capacity_price,activation_price,1,0.2725683509800638,0.16097934483115944,-0.11158900614890438,4552,485300
2,surface_full4,spearman_rho,activation_volume,activation_price,0,0.19322489565029485,0.27728226881764917,0.08405737316735432,4758,506400
2,surface_full4,spearman_rho,activation_volume,activation_price,1,0.0510816303376622,0.09498380217991508,0.043902171842252875,4552,485300
2,surface_full4,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384151,0.909235163616742,-0.02714924632167315,4853,485300
2,surface_full4,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.7598462316019496,-0.023431873155188576,4853,485300
2,surface_full4,spearman_rho,activation_volume,activation_volume,1,0.46886524499604004,0.41281334759380744,-0.0560518974022326,4853,485300
2,surface_full4,spearman_rho,activation_price,activation_price,1,0.6420283903589196,0.4856871106104092,-0.15634127974851036,4363,485300
2,surface_full4,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.33467614533965245,0.07629350234162485,507,50640
3,own_pooled__independent,spearman_rho,day_ahead_price,capacity_price,0,0.40412428709866505,0.21812751042686035,-0.1859967766718047,5064,506400
3,own_pooled__independent,spearman_rho,day_ahead_price,capacity_price,1,0.37191554000304194,0.1811655785540784,-0.19074996144896356,4853,485300
3,own_pooled__independent,spearman_rho,day_ahead_price,activation_volume,0,-0.14447317533750653,-0.10999170463893782,0.03448147069856872,5064,506400
3,own_pooled__independent,spearman_rho,day_ahead_price,activation_volume,1,-0.18818550289917593,-0.13829401603452401,0.04989148686465192,4853,485300
3,own_pooled__independent,spearman_rho,day_ahead_price,activation_price,0,0.6047034386466197,0.11947206473256351,-0.4852313739140562,4758,506400
3,own_pooled__independent,spearman_rho,day_ahead_price,activation_price,1,0.5608576248905536,0.09821001129831418,-0.4626476135922394,4552,485300
