delivery_day,activated_mwh_per_mw,activation_revenue_eur_per_mw,forgone_day_ahead_eur_per_mw,net_activation_eur_per_mw,activated_mwh_at_arm_power,soc_throughput_share_of_energy,arm
2025-12-17,1.6465,193.389778,175.4140127403,17.97576525970001,16.465,0.82325,sensitivity
2025-12-18,3.3197,3355.617468,208.4155119093,3147.2019560907,33.197,1.65985,sensitivity
2025-12-19,1.5547,114.25990100000001,53.5152928739,60.74460812610001,15.547,0.77735,sensitivity
2025-12-20,3.3184,646.444355,323.7000738584,322.74428114159997,33.184,1.6591999999999998,sensitivity
2025-12-21,0.8998999999999999,100.600498,82.94364894719999,17.656849052800013,8.998999999999999,0.44994999999999996,sensitivity
2025-12-22,1.5346,429.502674,120.4796182585,309.0230557415,15.346,0.7673,sensitivity
2025-12-23,2.8905,749.881343,218.068159749,531.813183251,28.904999999999998,1.44525,sensitivity
2025-12-24,3.9144,983.744614,265.5245534592,718.2200605408,39.144,1.9571999999999998,sensitivity
2025-12-25,7.9361,926.415568,515.4313960004,410.9841719996,79.36099999999999,3.9680499999999994,sensitivity
2025-12-26,2.9746,383.755668,285.5945008481,98.16116715190003,29.746000000000002,1.4873,sensitivity
2025-12-27,1.2474,144.301663,110.2090642981,34.09259870189999,12.474,0.6237,sensitivity
2025-12-28,1.7798,217.241005,149.4471845565,67.79382044350001,17.798000000000002,0.8899000000000001,sensitivity
2025-12-29,1.8842999999999999,208.281321,130.3636895915,77.9176314085,18.843,0.94215,sensitivity
2025-12-30,2.4955,309.478843,226.7492472278,82.72959577219999,24.955,1.24775,sensitivity
2025-12-31,2.8302,2163.8749430000003,254.089968122,1909.7849748780002,28.302,1.4151,sensitivity
2026-01-01,9.2108,795.929956,137.631136464,658.2988195359999,92.108,4.6054,sensitivity
2026-01-02,6.1299,1438.683998,161.5098999168,1277.1740980832,61.299,3.06495,sensitivity
2026-01-03,1.272,147.91593799999998,111.3743015164,36.54163648359999,12.72,0.636,sensitivity
2026-01-04,2.8282,473.600638,274.1222469039,199.47839109609998,28.281999999999996,1.4141,sensitivity
2026-01-05,5.107,3063.846067,716.4071262947,2347.4389407053,51.07,2.5535,sensitivity
2026-01-06,6.4671,1686.875898,753.8265233801,933.0493746199,64.671,3.23355,sensitivity
2026-01-07,1.8722,449.963687,181.3871051895,268.5765818105,18.722,0.9361,sensitivity
2026-01-08,4.1117,1023.888091,653.5563473628999,370.3317436371001,41.117,2.05585,sensitivity
2026-01-09,3.4013,396.263777,247.6043465636,148.65943043640002,34.013,1.70065,sensitivity
2026-01-10,2.6244,275.727007,193.3669151341,82.36009186590002,26.244,1.3122,sensitivity
2026-01-11,2.9125,350.003755,277.6803045227,72.32345047730001,29.125,1.45625,sensitivity
2026-01-12,4.2619,716.65052,364.1725711442,352.47794885580004,42.619,2.13095,sensitivity
2026-01-13,2.1430000000000002,524.005074,196.8283004809,327.17677351910004,21.430000000000003,1.0715000000000001,sensitivity
2026-01-14,1.7111,1309.386108,196.1052802006,1113.2808277994,17.111,0.85555,sensitivity
2026-01-15,2.0515,1428.9477890000003,219.8983966543,1209.0493923457002,20.515,1.02575,sensitivity
2026-01-16,2.5295,386.177345,190.62789118030003,195.54945381969998,25.295,1.26475,sensitivity
2026-01-17,1.5114,196.46982400000002,167.0285517377,29.441272262300004,15.114,0.7557,sensitivity
2026-01-18,2.1292,698.001298,224.3741514279,473.62714657210006,21.292,1.0646,sensitivity
2026-01-19,2.0814,562.2496960000001,282.03837055220004,280.21132544780005,20.814,1.0407,sensitivity
2026-01-20,3.2502,723.083753,533.9330164842,189.15073651579996,32.502,1.6251000000000002,sensitivity
2026-01-21,1.7606,285.13363400000003,186.21967764800002,98.91395635200001,17.605999999999998,0.8802999999999999,sensitivity
2026-01-22,3.9188,598.3896579999999,323.78401082749997,274.60564717249997,39.188,1.9594,sensitivity
2026-01-23,2.0879,284.759077,199.2959172477,85.46315975229999,20.878999999999998,1.04395,sensitivity
2026-01-24,2.2471,1023.430212,212.93419457759998,810.4960174224,22.471,1.12355,sensitivity
2026-01-25,1.1716,183.3939,129.9200759856,53.47382401440001,11.716,0.5858,sensitivity
2026-01-26,0.6671,146.467005,89.87687641469999,56.59012858530001,6.671,0.33355,sensitivity
2026-01-27,1.2781,208.642383,148.3733151169,60.26906788310001,12.781,0.63905,sensitivity
2026-01-28,2.4567,1345.8607709999999,298.6703914954,1047.1903795045998,24.567,1.22835,sensitivity
2026-01-29,2.1723,1545.0347049999998,287.44751533059997,1257.5871896693998,21.723,1.08615,sensitivity
2026-01-30,2.5959,441.305808,269.2786401994,172.0271678006,25.959,1.29795,sensitivity
2026-01-31,0.4396,51.465756999999996,39.2021940062,12.263562993799994,4.396,0.2198,sensitivity
2026-02-01,1.3121,161.154711,122.7323049053,38.422406094699994,13.121,0.65605,sensitivity
2026-02-02,3.2681,495.966427,302.1878092598,193.7786177402,32.681,1.6340499999999998,sensitivity
2026-02-03,1.7808,781.155029,166.0349414751,615.1200875249,17.808,0.8904,sensitivity
2026-02-04,1.5691,217.716248,143.61970999140001,74.09653800859999,15.690999999999999,0.78455,sensitivity
2026-02-05,2.5593,326.024791,219.3462095629,106.67858143710001,25.593,1.27965,sensitivity
2026-02-06,1.5526,232.91871600000002,164.8793556953,68.03936030470001,15.526,0.7763,sensitivity
2026-02-07,1.7822,227.091473,184.2033697856,42.88810321440002,17.822,0.8911,sensitivity
2026-02-08,1.6264,233.201025,163.7708057657,69.43021923429998,16.264,0.8131999999999999,sensitivity
2026-02-09,0.7054,109.704597,102.320713993,7.3838830070000085,7.054,0.3527,sensitivity
2026-02-10,2.451,395.345151,268.0097789016,127.3353720984,24.51,1.2255,sensitivity
2026-02-11,2.1176,293.043131,228.4539748982,64.58915610180003,21.176,1.0588,sensitivity
2026-02-12,0.8617,95.543954,79.274292341,16.269661658999993,8.617,0.43085000000000007,sensitivity
2026-02-13,2.1513,1532.987407,193.1390112001,1339.8483957999001,21.512999999999998,1.07565,sensitivity
2026-02-14,2.1278,334.860226,214.7535019853,120.1067240147,21.278000000000002,1.0639,sensitivity
2026-02-15,6.4529,2481.117521,521.0579917125,1960.0595292875,64.529,3.22645,sensitivity
